,E11.5_XX_1,E11.5_XX_2,E12.5_XX_1,E12.5_XX_2,E13.5_XX_1,E13.5_XX_2,E13.5_XX_3,E11.5_XY_1,E12.5_XY_1,E12.5_XY_2,E13.5_XY_1,E13.5_XY_2
Gnai3,109.15,73.19,67.64,120.18,77.83,113.3,115.29,117.15,61.62,94.58,67.62,86.64
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,25.02,17.6,20.59,32.87,29.67,33.1,28.35,25.88,26.87,35.07,18.95,20.65
H19,6185.08,4118.34,4587.81,6220.66,6192.96,4595.35,6156.38,5416.44,2219.29,2949.73,1777.01,2308.02
Scml2,6.4,5.26,17.39,29.89,27.03,69.94,71.01,7.29,15.23,20.04,50.08,33.24
Apoh,0,0.03,0,0.1,0.1,0.24,0.16,0.08,0.03,0.04,0.03,0
Narf,23.35,17.66,11.56,18.44,14.71,15.61,16.83,22.78,11.16,16.01,14.56,17.71
Cav2,3.07,2.63,1.74,2.74,1.99,2.75,2.61,3.07,2.38,2.29,1.96,2.64
Klf6,19.38,12.94,9.03,13.81,9.19,11.64,11.2,20.85,12.82,19.44,28.52,24.14
Scmh1,38.07,28.2,38.5,50.13,38.24,68.2,50.86,31.98,17.27,23.57,17.04,22.99
Cox5a,93.11,56.06,90.16,145.46,190.62,152.63,98.67,118.66,81.12,107.06,66.81,69.18
Tbx2,33.39,20.23,22.41,30.94,28.86,21.75,23.59,36.22,42.06,72.86,42.25,51.28
Tbx4,6.1,5.21,8.18,11.56,4.49,4.61,4.52,4.75,5.16,4.93,3.56,3.89
Zfy2,0,0,0,0,0,0,0,0.32,0.36,0.54,0.89,0.71
Ngfr,15.41,10.73,11.61,23.45,17.13,22.33,20.94,21.7,24.48,36.61,24.34,26.78
Wnt3,0.24,0.18,0.64,0.97,0.43,0.39,0.63,0.38,5.05,4.8,5.54,7.37
Wnt9a,4.29,3.11,7.69,10.86,8.15,6.42,7.82,1.87,0.53,0.77,0.71,0.7
Fer,22.97,17.52,14.75,28.64,15.99,20.9,21.93,23.64,14.12,19.45,23.29,23.53
Xpo6,64.62,44.39,42.82,78.94,68.73,74.67,60.65,72.16,51.23,76.49,56.9,57.54
Tfe3,25.18,18.91,21.02,31.25,17.18,19.95,17.9,20.58,15.16,21.21,22.69,26.22
Axin2,20.62,14.42,24.43,44.74,29.61,42.13,45.55,16.79,9.5,13.06,14.08,12.27
Brat1,7.07,3.41,3.64,7.31,6.7,6.05,4.18,8.28,3.98,7.9,8.06,5.96
Gna12,31.52,21.11,20.19,35.12,30.24,31.51,30.33,45.59,27.8,40.87,26.73,32.77
Slc22a18,0.45,0.31,1.58,1.97,3.81,3.51,3.48,0.2,0.17,0.16,0.43,0.27
Itgb2l,0,0.02,0.04,0,0.01,0,0.03,0,0,0,0,0
Igsf5,0.81,0.36,0.19,0.13,0.14,0.45,0.1,0.41,0.06,0.09,0.74,0.35
Pih1d2,3.41,2.28,3.16,3.38,4.82,5.94,4.79,3.74,4.49,5.14,8.07,8.48
Dlat,21.95,19.72,20.37,22.52,19.18,27.81,25.97,22.68,19.96,27.1,25.19,29.8
Sdhd,89.31,68.09,90.13,101.08,113.25,100.02,100.31,106.37,73.98,86.65,63.33,91.84
Fgf23,0,0,0,0,0.03,0,0,0,0,0.02,0.01,0
Fgf6,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0
Ccnd2,72.43,32.77,28.07,65.68,35.36,44.96,52.07,82.99,27.11,50.38,28.32,37.35
Gpr107,27.8,14.54,14.7,26.58,18.41,21.09,22.73,27.23,16.77,25.11,29.24,25.79
Nalcn,0.18,0.13,0.28,0.66,0.34,0.7,0.77,0.2,0.03,0.05,0.09,0.06
Btbd17,0.35,0.26,0.26,0.4,0.81,0.36,0.65,0.45,0.16,0.26,0.56,0.23
Slfn4,0.04,0.01,0.02,0.01,0.07,0.03,0.1,0.04,0.01,0.01,0.09,0.02
Th,0.52,0.34,0.07,0.14,0.33,0.09,0.11,0.17,0.12,0.39,0.8,1.21
Ins2,0.16,0.37,0.91,1.67,2.83,0.94,0.54,0.54,0,0.59,0.12,0.09
Scnn1g,0.79,0.37,0,0.02,0.03,0,0,0.57,0.01,0,0.01,0.01
Drp2,30.35,21.94,17.9,21.72,12.87,12.83,17.41,23.78,2.08,3.64,2.13,2.55
Tspan32,2.68,1.85,1.34,2.26,1.75,2.01,1.62,3.86,4.29,6.68,2.45,4.08
Lhx2,0.53,0.35,1.02,1.8,2.72,3.18,2.57,0.41,0.46,0.31,0.28,0.45
Clec2g,0.02,0.05,0.12,0.02,0.03,0.09,0.04,0.02,0.09,0.04,2.98,0.78
Gmpr,15.71,9.19,10.24,16.91,22.17,16.61,15.02,20.61,28.76,40.55,34.44,26.56
Glra1,1.71,1.09,0.31,0.8,0.14,0.12,0.5,1.17,0.05,0.02,0.04,0.02
Mid2,2.97,1.96,1.08,2.2,0.97,2.24,3.18,3,1.64,2.43,2.66,2.57
Trim25,35.91,24.91,23.38,56.04,16.94,31.03,37.89,35.61,34.21,50.39,43.79,43.64
Dgke,3.66,2.09,2.88,4.51,2.14,3.98,5.21,3.67,3.27,4.82,5.9,5.33
Scpep1,49.72,32.49,33.8,51.14,43.41,43.86,36.75,43.61,31.01,40.07,44.16,48.63
Mnt,29.04,23.16,15.14,25.75,8.54,18.01,16.22,21.65,14.9,26.89,29.86,26.1
Itgb2,0.58,0.57,0.09,0.34,0.46,0.15,0.35,0.69,0.06,0.12,0.14,0.31
Hddc2,39.2,27.27,39.06,45.93,67.57,51.73,42.03,51.52,35.02,42.46,27.62,32.79
Tpd52l1,11.55,12.59,15.15,11.58,13.33,10.02,17.63,20.23,43.03,38.23,23.88,35.25
Pemt,2.78,2.58,4.85,5.99,10.96,11.7,7.8,3.56,4.86,2.53,6.79,5.29
Cdh1,18.82,13.49,16.51,24.48,7.46,8.21,9.75,14.43,26.07,30.22,32.59,41.78
Cdh4,1.08,0.42,0.33,0.38,0.18,0.23,0.22,0.95,0.65,1.02,0.43,0.38
Ckmt1,1.09,0.53,0.28,0.26,0.28,0.14,0.1,0.53,0.12,0.26,0.91,0.36
Bcl6b,7.15,4.36,2.19,4.55,2.88,2.28,2.9,9,3.72,6.38,4.15,3.61
Clec10a,0.96,0.37,0.2,0.39,0.55,0.34,0.36,0.64,0.15,0.07,0.48,0.2
Alox12,1.04,0.64,0.41,0.58,0.22,0.31,0.37,1.38,0.34,0.94,0.36,0.79
Arvcf,27.78,17.44,17.81,35.79,21.23,20.95,18.86,26.07,16.4,21.93,25.62,17.22
Comt,28.42,23.37,33.42,28.47,37.57,25.81,36.01,29.93,19.16,21.01,18.44,22.1
Rtca,52.92,41.78,50.55,50.02,48.08,56.36,51.48,60.65,51.23,56.34,41.85,49.3
Dbt,18.53,14.35,11.36,18.7,12.16,13.96,19.47,21.47,13.04,18.12,11.76,15.69
Dazap2,79.89,78.98,79.89,85.9,92.81,127.86,123.56,79.93,59.43,65.93,67.37,71.07
Mcts1,35.06,25.75,24.51,25.96,24.25,18.99,27.71,42.5,21.94,22.31,14.12,24.56
Rem1,2.19,1.21,1.1,1.5,1.66,2.29,1.3,3.37,1.2,2.01,2.41,2.32
Rnf17,7.76,5.54,14.96,29.69,28.81,60.94,53.42,7.02,15.03,17.04,47.69,32.69
Trappc10,9.22,5.75,5.97,11.4,6.49,10.5,9.94,9.85,5.92,8.75,6.81,6.66
Ccm2,24.82,19.54,25.87,31.4,35.7,23.61,30.13,24.24,25.54,28.24,27.51,28.85
Wap,0,0,0,0.07,0,0,0.05,0,0,0.13,0,0
Tbrg4,17.2,10.58,13.95,20.41,15.7,14.51,14.55,20.54,18.97,24.85,15.79,22.08
Tmprss2,2.75,1.88,0.26,0.13,0.14,0.13,0.05,3.03,0.19,0.17,0.06,0.09
Mx1,0.02,0.03,0.02,0,0.05,0.06,0.1,0.06,0.09,0.02,0.25,0.06
Fap,3.76,2.75,0.34,2,1.24,1.99,1.33,4.76,0.17,0.69,1.36,0.42
Gcg,0,0,0,0,0,0,0.04,0,0,0.05,0,0
Ndufa9,86.27,77.71,83.4,120.89,139.42,118.78,113.13,92.02,83.13,94.99,100.4,107.11
Egfl6,4.46,3.24,13.78,28.87,28.7,28.23,30.47,5.59,1.49,2.06,2.36,2.08
Lck,12.13,8.87,6.17,12.9,5.33,5.79,4.35,10.56,3.86,3.81,4.5,3.05
Tssk3,0,0,0,0,0.03,0.17,0.04,0,0.03,0,0,0
Cttnbp2,6.9,4.04,1.56,4.05,1.78,2.85,5.25,7.87,2.38,3.95,3.67,4.11
Galnt1,98.85,69.47,80.73,143.83,83.53,95.55,102.41,106.14,80.51,116.15,104.41,111.03
Myf5,0.02,0.01,0,0,0,0,0.02,0.02,0.01,0,0.05,0
Mkrn2,19.75,17.1,20.06,29.53,24.72,24.76,28.05,19.44,20.47,22.77,32.55,27.7
Pparg,0.59,0.33,0.62,1.09,3.46,9.49,5.35,1.13,0.22,0.11,0.14,0.17
Raf1,45.92,30.79,26.34,44.75,34.47,49.86,48.27,45.49,26.69,38.33,32.4,33.86
Sept1,4.65,3.98,4.55,4.09,5.74,3.52,4.55,6.07,4.2,5.08,3.31,4.72
Pdgfb,3.04,1.96,1.5,2.56,1.96,1.31,1.62,4.06,3.28,5.82,3.2,3
Acvrl1,12.24,9.64,5.96,10.9,6.96,5.85,7.15,12.96,10.64,15.92,11.55,12.44
Grasp,13.34,9.25,10.61,14.52,13.04,10.95,9.98,15.82,10.71,14.85,7.31,8.97
Acvr1b,14.16,8.73,7.88,14.16,7.41,9.28,10.18,13.69,8.71,13.41,12.89,11.52
Tom1l2,8.3,5.81,4.61,7.39,6.65,9.44,8.74,8.95,6.17,10.75,13.35,10.17
Gpa33,1.1,0.82,0.81,0.8,0.39,0.23,0.81,0.64,0.22,0.76,0.47,0.4
Zfp385a,10.39,7.8,7.54,10.84,13.32,15.58,12.47,9.53,5.46,8.36,8.79,8.04
Itga5,15.15,9.72,7.52,12.21,10.33,10.23,11.69,19.17,8.92,13.57,8.26,8.67
Gabra2,0.04,0.07,0.07,0.04,0.22,0.1,0.21,0.09,0.02,0.03,0.08,0.06
Wdr77,32.47,17.59,24.36,52.38,38.96,31.86,32.05,44.15,25.86,45.25,28.96,35.53
Adora3,0.08,0.09,0.05,0.07,0.09,0.05,0.04,0.15,0.03,0,0,0.12
Atp5f1,288.79,239.53,313.17,386.19,527.2,550.5,599.54,315.28,304.2,299.12,190.14,268.03
Sox9,6.38,3.55,1.36,2.2,1.68,1.71,2.07,69.89,24.44,47.15,27.19,26.01
Hnrnpd,823.06,719.59,671.95,765.44,546.36,573.2,852.38,927.01,804.16,822.73,464.45,709.97
Dynlt1c,23.64,13.58,10.33,12.32,7.6,10.1,12.6,25.22,12.75,29.17,15.02,24.67
C1d,44.13,26.73,32.02,44.78,50.54,35.54,33.82,63.24,31.6,35.69,21.46,25.26
Gm2a,16.13,11.67,15.93,24.19,24.45,19.38,16.55,24.64,20.74,33.81,32.8,30.33
Krit1,36.17,27.06,21.39,31.51,21.48,39.43,36.97,36.66,21.25,38.48,31.43,31.39
Clcn4-2,13.56,8.46,5.3,11.27,7.76,8.82,9.7,16.39,6.76,11.5,8.28,10.59
Vmn2r88,0.02,0,0.01,0,0,0,0,0.02,0,0.02,0,0.03
Grm6,0,0.01,0.01,0,0.01,0.12,0.07,0,0.01,0.03,0.01,0
Sema4f,0.61,0.26,0.76,1.84,2.24,2.16,1.9,0.75,0.2,0.45,0.44,0.4
Hk2,22.66,11.05,11.71,19.71,14.14,9.25,11.67,28.74,13.62,25.74,13.18,15.26
Myo18a,48.5,25.18,13.19,35.29,23.24,25.93,20.68,48.14,38,69.24,49.44,37.05
Sez6,0.25,0.08,0.41,0.74,0.27,1,0.9,0.14,0.33,0.23,0.33,0.38
Haao,0.46,0.38,1.66,2.05,2.96,2.08,2.07,0.87,0.03,0.2,0.03,0.08
Cd52,2.23,1.62,0.89,1.07,1.72,0.76,0.9,2.16,0.24,1.17,1.15,1.02
Abhd15,0.55,0.34,0.21,0.34,0.2,0.69,0.39,0.31,0.22,0.37,0.21,0.15
Hoxb6,8.64,4.91,0.63,0.94,0.58,0.4,0.34,7.52,0.46,0.85,0.41,0.44
Loxl3,7.85,4.87,2.87,4.36,3.95,4.06,3.83,9.85,5.21,9.66,6.08,5.85
Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0
Btn1a1,1.51,0.83,0.24,0.4,0.2,0.28,0.5,1.29,1.03,1.91,1.71,1.59
Kat2b,10.91,7.92,7.46,7.19,3.98,5.25,6.78,6.99,7.76,9.84,10.86,10.14
Rab5b,43.01,28.59,25.86,48.31,31.84,46.38,43.73,42.75,23.28,36.04,30.03,34.21
Cryba1,0,0,0,0,0,0,0,0.07,0,0,0,0
Dnmt3l,0,0.06,0,0,0.09,0,0.04,0.05,0.02,0.06,32.41,2.28
Aire,2.05,1.14,0.65,0.69,0.62,0.8,0.92,2.77,0.61,0.41,0.11,0.09
Icosl,1.83,0.98,1.22,1.71,1.28,1.28,1.23,2.22,0.73,1,1.85,1.22
Spg7,41.97,33.33,31.71,48.59,47.38,44.7,50.43,52.6,40.08,56.73,38.25,43.98
Sult5a1,4.43,1.73,2.92,5.09,4.51,3.01,2.86,4.94,1.55,3.31,2.16,1.92
Rpl13,1184.5,846,1409.36,1601.89,2291.33,1615.55,1422.27,1517.27,1287.35,1469.81,1298.86,1389.2
Chmp1a,23.51,13.58,19.56,33.4,32.53,26.68,26.78,27.48,18.88,27.23,19.21,21.9
Rpa1,84.78,54.23,68.43,114.77,76.52,68.17,67.57,100.31,76.63,102.92,87.31,87.37
Serpinf1,66.3,91.29,80.63,58.81,87.64,54.74,97.1,75.02,43.96,35.94,35.85,43.41
Tubgcp3,32.21,18.61,19.39,33.15,27.68,30.99,30.77,34.51,22.04,35.81,25.46,27.04
Oprm1,0,0,0,0,0,0,0,0,0,0,0,0
Polr3d,27.3,27.94,33.47,36.86,28.27,26.84,28.62,31.49,41.38,39.11,48.69,44.66
Tcf7,29.82,21.62,38.16,62.98,46.64,44.1,51.76,31.35,38.82,49.66,53.47,55.65
Ddx3x,473.32,386.62,222.4,517.1,161.41,329.89,429.64,343.81,254.88,364.96,597.42,464.93
Il12rb1,0,0.04,0.08,0.18,0.04,0.09,0.11,0.03,0.06,0.02,0.06,0.05
Slc5a5,0.55,0.61,0.84,0.57,0.47,0.46,0.67,0.52,0.25,0.28,0.19,0.09
Kcnn3,1.55,0.83,0.39,0.57,0.3,0.68,0.99,1.67,0.5,0.9,0.95,0.96
Usp32,20.69,22.66,13.54,27.4,14.69,42.29,71.5,19.45,19.89,24.96,31.62,39.86
Car4,6.96,4.81,4.16,0.41,0.27,0.18,0.36,3.6,0.13,0.25,0.22,0.08
Txnrd3,11.92,7.09,10.61,21.1,21.63,26.21,19.62,13.43,9.69,13,26.33,16.48
Fasl,0.07,0.03,0,0.06,0.02,0.03,0,0.17,0.02,0.1,0.39,0.21
Znf512b,40.11,24.32,13.61,31.84,13.69,24.81,29.32,35.38,19.69,30.97,35.87,24.05
Dnajc5,40.34,29.37,17.57,44.91,15.59,34.69,38.53,40.83,25.54,35.23,30.05,34.9
Tpd52l2,116.57,106.86,112.21,138.71,125.93,120.51,154.74,145.16,146.08,121.41,111.29,116.95
Fmr1,113.42,64.95,77.85,159.28,95.95,228.32,180.76,97.02,57.42,102.02,72.39,79.79
Bcl11a,10.97,6.69,2.95,3.2,2.55,2.01,3.02,9.6,4.61,5.99,4.91,5.44
Il4,0.74,0.22,0.76,1.41,0.28,0.28,1.47,0.55,0.45,0,0.58,0.51
Pxmp4,11.27,8.8,11.62,15.57,16.69,15.14,12.38,11.09,8.04,11.81,10.46,9.47
Dlg3,21.8,15.17,28.1,51.07,34.5,32.98,37,21.31,13.51,17.84,17.38,18.39
Gnb1l,1.86,1.48,2,2.33,3.16,2.4,1.94,2.58,1.7,1.51,1.58,1.95
Dbh,3.39,1.59,0.03,0.19,0,0.06,0,1.05,0,0.27,0.08,0
Mmp11,82.81,94.47,91.32,93.13,123.22,80.01,58.22,87.04,93.35,94.26,186.29,165.98
Smarcb1,85.72,50.06,53.27,80.13,85.32,66.62,54.44,102.21,56.15,88.41,90.25,76.55
Vpreb3,0.59,0.41,0.42,0.91,0.64,0.67,1.12,0.54,0.56,1.11,0.77,0.87
Hip1r,3.99,1.94,3.27,6.55,5.32,5.4,9.46,3.79,2.42,2.4,3.48,3.21
Nsun5,16.96,8.72,14.25,20.24,28.24,26.33,19.67,17.59,10.42,18.34,9.95,11.35
Top1mt,5.47,3.8,5.41,8.3,10.95,7.74,7.93,6.46,3.95,4.67,4.75,4.68
Hoxa10,4.18,2.76,0.75,1.2,1.25,1,1.23,5.48,0.92,1.25,0.42,0.93
Hoxa4,4.17,3.12,0.93,1.05,0.7,0.7,0.96,5.32,0.48,0.63,0.33,0.33
Snrpn,4.63,2.49,2.59,3.57,0.35,3.61,5.64,3.11,2.51,5.49,4.27,6.28
Mmp14,116.95,77.2,55.42,83.74,77.73,67.27,70.85,130.62,63.35,77.52,71.26,76.33
Slc7a7,7.33,4.67,3.88,3.39,2.75,2.25,5.38,7.79,5.52,6.16,2.37,3.01
Oxa1l,60.92,35.23,45.11,84.19,81.99,61.03,52.88,69.42,35.02,55.32,38.49,41.88
Heatr6,9.6,5.67,3.82,7.15,3.29,6.06,6.08,9.05,4.13,8.17,6.58,6.14
Ccl3,1.34,0.58,0.64,1.46,0.73,1.01,0.73,1.08,0.19,0.58,0.17,0.19
Wfdc18,0.13,0,0,0,0,0,0,0.94,1.68,1.02,0.71,1.89
Icam4,1.68,0.83,0.32,1.1,2.23,1.47,1.52,0.93,0.42,0.41,0.23,0.56
Ilf2,181.6,173.13,153.25,183.93,173.28,136.96,167.43,231.16,222.13,178.95,208.19,204.18
Chtop,87.4,57.81,61.23,87.55,81.51,82.77,89.67,96.05,67.1,89.26,80.29,82.75
Snapin,29.64,21.84,33.15,42.41,36.28,47.29,55.34,28.07,21.93,31.14,27.18,40.26
S100a4,2.7,2.51,1.46,1.45,3.97,1.76,1.28,3.57,1.8,3.78,2.73,3.17
S100a3,0.18,0.06,0.12,0.18,0.42,0.6,0.15,0.89,0.12,0.53,0.37,0.14
S100a5,0,0,0,0,0,0,0,0,0,0,0,0
S100a6,19.06,15.99,16.87,22.44,33.26,20.59,14.38,25.24,16.23,17.89,28.02,19.97
Scn4a,0.15,0.07,0.03,0.09,0.01,0.04,0.05,0.26,0.02,0.05,0.03,0.01
Icam2,19.95,11.56,7.2,10.95,10.04,8.84,6.85,20.14,8.25,16.39,8.4,10.16
Mapk7,38.9,28.27,23.09,38.31,23.57,27.78,28.9,40.98,29.13,41.37,53.44,37.01
Epn2,19.41,13.22,16.28,32.29,20.94,37.14,53.96,14.6,16.47,20.33,31.36,29.75
B9d1,12.45,8.87,9.28,11.93,12.35,9.47,8.27,16.17,8.8,11.58,9.71,10.24
Sec24b,65.74,47.76,40.27,53.81,30.63,38.51,51.91,73.3,45.05,60.74,36.86,46.21
N4bp3,4.99,3.07,3.49,5.66,6.77,4,2.77,7.23,5.85,8.22,4.02,4.13
Rmnd5b,8.44,4.49,5.73,9.38,10.65,7.97,6.96,10.32,5.45,9.91,7.1,6.21
Nhp2,52.7,34.75,46.93,57.73,65.36,40.22,35.96,48.54,58.17,73.74,56.79,58.43
Vps9d1,30.39,18.93,13.63,18.88,17.73,16.92,19.39,39.9,14.46,24.39,18.43,17.96
Zfp276,11.53,5.59,5.29,9.12,6.85,7.48,7.6,11.75,6.09,10.2,6.33,6.31
C1ql4,0.44,0.23,0,0,0,0,0,0.29,0,0.12,0,0.04
Mfsd10,47.99,26.78,27.68,46.25,42.84,27.89,25.78,48.36,23.91,54,27.75,39.07
Luzp1,22.47,15.36,7.51,20.94,9.25,25.72,25.6,18.06,9.13,14.73,16.31,14.68
Slc13a2,0.03,0.06,0.02,0,0.03,0,0.04,0.04,0.68,2.27,0.4,0.73
Kctd10,48.28,45.76,30.41,41.05,28.64,28.94,33.96,57.06,41.8,41.32,52.6,40.22
Poldip2,52.95,39.21,46.27,65.83,58.03,59.17,63.02,58.58,37.88,51.74,37.82,43.09
Sebox,0,0,0,0,0,0,0,0,0.05,0,0,0
Ift20,94.73,77.74,82.23,110.42,146.33,95.97,76.58,119.81,90.56,125.93,100.7,98.07
Col6a1,25.65,15.38,21.9,51.84,48.47,47.47,59.54,30,35.28,65.01,83.84,68.61
Pcbp3,29.04,30.43,30.87,36.97,31.6,40.97,39.94,31.93,28.87,37.36,46.73,42.19
Lgals9,7.07,4.81,6.56,7.06,7.81,6.74,5.76,6.85,5.06,5.63,2.4,2.67
Araf,45.58,34.7,35.16,45.62,41.94,43.15,58.74,54.8,31.48,42.48,30.78,40.08
Cfp,2.04,1.47,1.31,0.85,1.07,0.69,1.55,3.74,1.2,1.28,0.94,1.38
Timp1,26.2,17.93,22.15,23.87,29.38,20.26,20.04,27.57,26.91,39.06,33.32,43.15
Uxt,20.23,20.37,34.13,38.02,54.15,37.45,46.02,26.39,21.12,27.6,20.25,26.37
Cnnm3,6.59,3.83,4.19,8.98,6.73,7.35,6.86,7.22,4.59,7.91,5.81,6.65
Lman2l,16.39,35.78,27.13,21.69,19.82,21.95,31.06,18.23,25.36,14.19,72.68,39.26
Mcm3ap,23.12,14.61,14.8,29.14,17.77,17.89,21.01,23.44,15.67,22.08,15.65,17.48
Pcnt,17.01,11.34,9.96,17.85,8.62,12.18,19.13,15.68,15.45,22.48,18.61,16.87
Ftcd,0.05,0.02,0.05,0.16,0.02,0.02,0.26,0.01,0.03,0.02,0.01,0.04
Mxd1,14.6,7.67,5.65,11.53,7.14,7.75,7.27,15.69,8.3,15.54,8.76,10.65
Gmcl1,27.8,20.38,24.32,40.92,34.53,37.67,40.38,28.19,17.91,27.07,16.65,21.95
Snrnp27,105.39,159.04,155.56,132.74,151.55,148.75,137.35,116.25,175.21,111.76,252.57,184.36
Oas1c,0.35,0.18,0.39,0.63,0.63,0.56,0.38,0.3,0.4,0.38,0.67,0.4
Oas1h,0.03,0,0,0,0,0,0,0,0,0.06,0,0
Ocrl,23.2,16.26,13,18.76,14.01,21.14,22.6,22.2,15.82,21.84,21.84,19.67
Calm1,417.51,423.71,402.54,403.63,381.09,338.77,505.52,457.97,474.6,447.63,291.32,419.12
Agpat3,19.18,13.63,14.39,20.68,21.15,16.81,15.75,24.1,12.03,14.82,15,13.01
Slc26a3,0.02,0,0.02,0,0.02,0,0.06,0.01,0.01,0.02,0.05,0
Sema6b,1.57,0.74,0.86,1.86,1.52,1.06,1.11,1.25,0.55,0.58,0.53,0.42
Uhrf1,65.55,43.7,33.56,52.03,43.24,53.91,62,78.16,46.76,68.74,58.93,51.59
Dpp9,16.25,10.43,10.46,15.94,13.89,12.25,12.9,20.91,9.53,16.4,15.22,12.23
Ramp2,58.37,45.99,29.7,31.37,29.46,34.08,32.77,58.31,39.36,57.07,37.41,36.11
Lsr,22.81,15.91,20.78,32.04,33.62,23.84,19.37,36.43,20.9,34.22,26.56,25.74
Gramd1a,31.29,18.88,12.3,19.39,13.08,13.2,13.54,42.52,16.97,30.34,11.78,15.76
Hpn,4.27,2.86,0.88,1.59,0.8,1.28,1.17,4.71,0.5,0.71,0.26,0.38
Gabrg1,0.15,0.05,0.04,0.07,0.05,0.11,0.11,0.16,0.07,0.14,0.07,0.04
Ckb,51.51,34.56,43.58,55.68,42.41,25.13,26.08,55.51,60.63,78.59,27.6,51.5
Sp1,68.1,40.71,24.02,66.65,20.29,50.99,50.38,51.13,39.64,65.31,75.84,58.43
Itgb7,0.22,0.38,0.25,0.22,0.15,0.06,0.05,0.36,0.53,0.66,0.12,0.24
Myg1,37.69,42.48,37.63,30.48,31.37,22.76,33.08,44.43,39.91,38.62,25.71,31.82
Rarg,10.86,7.4,4.96,7.5,8.19,8.54,9.5,10.18,3.88,5.34,12.44,8.95
Pfdn5,263.3,235.22,345.59,300.42,471.16,338.44,382.68,305.81,261.25,255.3,238.57,297.96
Efnb2,31.57,18.74,11.17,19.57,11.77,17.5,17.68,42.93,19.52,30.68,19.19,22.84
Rrp15,53.83,48.95,64.61,82.92,76.03,64.51,67.24,64.68,87.79,87.4,114.4,91.11
Rnd2,25.65,22.88,42.03,62.21,99.97,51.89,55.13,50.89,74.55,93.56,49.79,72.83
Srr,20.69,16.34,11.21,18.59,12.24,11.18,21.77,17.7,8.37,14.29,11.42,16.66
Sync,0.35,0.25,0.51,0.74,0.33,0.92,0.65,0.37,0.18,0.14,0.49,0.36
Fndc5,29,19.91,37.75,65.19,70.68,56.56,54.9,36.72,9.62,16.9,11.55,14.21
Acp5,6.71,4.31,3.31,3.9,5.86,4.71,6.5,5.36,2.95,2.25,1.76,2.51
Cnn1,0.84,0.7,0.24,0.16,0.26,0.22,0.15,0.72,0.27,0.46,1.14,0.73
Fbxo9,23.51,15.06,15.24,27.06,28.02,28.03,28.62,26.91,15.82,25.49,20.07,20.79
Ccdc132,32.79,45.41,40.79,58.72,43.62,54.58,53.88,29.69,56.99,52.28,124.22,68.45
Hars,54.76,43.75,37.01,45.85,40.27,36.12,42.41,61.94,43.86,53.74,53.25,46.92
Zmat2,74.67,50.08,57.44,85.58,90.88,79.89,67.35,77.69,68.32,76.08,87.84,74.17
Ube2c,254.8,226.13,242.63,188.12,222.68,167.43,147.69,193.81,319.28,382.19,255.09,289.73
Smg5,40.72,23.95,27.46,51.52,38.6,46.46,42.04,44.94,31.45,39.78,32.85,32.55
Cct3,200.49,160.45,218.75,278.99,292.71,325.79,292.3,231.56,219.37,249.78,234.11,265.63
Glmp,29.55,23.26,27.44,31.88,42.05,26.72,31.65,42.29,22.39,32.63,22.55,36.54
Mef2d,32.4,29.73,32.46,31.2,21.12,33.57,49.31,29.75,36.42,45.62,49.03,51.8
Tmem79,0.55,0.49,0.43,0.43,0.52,0.9,0.71,0.77,0.22,0.1,0.27,0.37
Snd1,156.74,51.26,72.82,188.96,139.31,122.27,78.5,210.3,77.15,173.44,108.97,106.8
Col18a1,133.24,127.67,110.58,126.66,69.61,104.69,165.61,160.94,410.8,383.57,191.49,304.08
Slc19a1,8.67,4.73,6,8.2,7.5,6.07,6.73,10.3,3.91,8.5,6.18,6.32
Kpnb1,436.02,729.46,556.75,480.77,279.13,289.05,649.08,505.9,830.5,496.74,590.7,777.99
Npepps,47.73,31.03,26.51,47.13,25.18,37.76,38.33,51.11,27.71,44.24,35.6,38.84
Tbx21,0,0,0.01,0.09,0.04,0.02,0.05,0,0.01,0,0.1,0.02
Mrpl10,23.81,15.35,14.79,22.83,21.87,22.46,18.9,25.92,16.92,23.52,14.94,19.57
Cyp51,36.17,19.95,16.21,29.29,23.25,24.05,21.34,42.47,20.5,28.98,40.88,41.81
Tcf25,73.81,47.6,46.65,78.21,67.29,68.63,68.76,79.47,52.47,77.07,77.12,68.54
Tubb6,21.05,15.33,8.68,11.53,12.38,13.85,11.9,24.73,13.43,18.54,20.15,16.71
Def8,20.14,10.38,11.24,20.7,14.07,13.21,11.9,19.7,9.8,15.02,8.14,10.36
Meox1,1.32,1.06,1.01,0.82,1.21,0.79,1.76,0.96,1.38,1.22,1.61,1.59
Sost,1,0.72,0.38,0.42,0.24,0.25,0.54,1.07,0.46,0.99,0.39,0.77
Nkx2-1,0,0.01,0,0,0,0,0,0,0,0,0,0
Pax9,0.08,0.05,0.02,0.06,0.04,0.01,0.16,0.04,0.02,0.01,0.01,0.01
Irx2,1.99,1.69,1.81,2.98,2.49,2.88,3.36,1.75,0.58,0.31,1.49,0.91
Col1a1,88.31,49.39,23.51,43.9,38.24,46.25,74.88,103.65,42.18,69.89,89.13,62.32
