,E11.5_XX_1,E11.5_XX_2,E12.5_XX_1,E12.5_XX_2,E13.5_XX_1,E13.5_XX_2,E13.5_XX_3,E11.5_XY_1,E12.5_XY_1,E12.5_XY_2,E13.5_XY_1,E13.5_XY_2
Aldoc,4.06,2.87,4.22,6.08,8.93,6.16,6.28,5.58,1.53,1.99,3.33,2.45
Stac2,4.85,3.59,2.72,3.78,3.06,2.99,3.52,5.26,1.71,3.03,2.3,2.34
Rpl19,1265.79,1103.36,1599.69,1836.44,2419.44,1775.61,1867.04,1562.67,1544.96,1465.32,1645.55,1746.21
Nek8,7.7,5.98,6.51,7.97,6.42,5.32,6.66,9.35,5.07,7.75,5.78,5.97
Cacnb4,0.32,0.15,0.16,0.29,0.28,0.47,0.61,0.37,0.2,0.57,0.55,0.57
Plxdc1,10.69,6.06,11.92,23.64,17.4,14.6,12.23,11.97,12.04,22.32,11.78,14.95
Arl5b,34.75,16.02,11.36,21.24,14.27,12.5,14.72,35.27,12.15,25.32,16.38,19.42
Zfp207,216.27,140.77,124.25,181.75,124.42,146.11,150.71,216.8,125.17,198.5,160.12,170.51
Psmd11,76.01,67.67,66.3,76.68,68.72,75.94,85.77,82.93,75.66,87.95,79.89,92.07
C1qtnf1,7.37,4.54,6.26,12.5,7.26,8.19,9.24,11.27,6.82,11.23,6.23,6.59
Pipox,3.64,2.36,3.71,5.75,2.63,1.72,2.24,3.31,3.05,3.4,1.21,2.54
Timp2,90.13,65.73,57.35,79.69,62.65,66.36,104.74,82.98,71.84,90.82,75,114.1
Zc3h18,56.17,38.49,32.85,62.31,38.99,47.21,49.44,59.97,42.88,59.27,41.88,41.49
Top2b,140.07,98.31,65.99,110.16,65.36,132.58,124.61,138.18,67.79,80.98,61.81,70.24
Rarb,12.59,7.4,2.23,3.54,3.43,3.02,3.68,11.68,1.14,1.69,1.4,1.65
Igfbp4,268.77,219.74,224.28,264.92,240.82,181.39,269.88,270.29,126.45,165.67,83.33,143
Cdc6,19.81,12.49,10.64,16.93,11.84,14.47,14.72,22.32,15.39,20.16,10.84,11.69
Suz12,63.81,53.06,52.9,90.19,40.16,61.12,78.35,58.48,54.49,66.89,52.92,62.5
Atad5,16.92,9.46,5.53,12.32,6.29,13.58,13.53,15.35,8.45,14.45,9.84,9.95
Crlf3,27.09,17.48,18.52,30.51,21.35,22.82,27.07,27.5,20.26,27.63,33.81,34.71
Krt27,0.47,0.19,0.1,0.22,0.19,0.17,0.15,0.23,0.33,0.28,0.44,0.06
Tns4,0.9,0.6,1.62,2.6,1.41,1.58,1.95,0.77,0.07,0.16,0.07,0.2
Tnfaip1,40.09,27.57,21.12,34.34,23.84,26.29,23.98,39.84,24.32,31.66,32.58,28.69
Abr,36.21,21.51,17.97,35.08,23.99,32.31,36.76,34.61,16.67,25.39,18.12,21.38
Rab11fip4,11.69,8.56,8.56,16.19,7.97,12.81,14.51,9.91,5.72,5.5,23.93,11.15
Cd40,2.05,1.63,1.22,1.22,1.62,1,1.52,3.31,3.48,4.45,3.29,3.47
Slc35c2,13.04,8.28,11.47,17.84,22.97,25.05,15.87,16.98,11.71,14.59,20.65,14.34
Zfp334,15.16,8.86,6.16,10.38,6.04,6.92,8.36,16.04,5.93,9.56,7.52,7.25
Elmo2,27.69,20.01,16.06,23.11,19.95,18.15,19.95,25.61,15.82,22.73,13.76,15.61
Wsb1,202.67,93.5,60.08,101.92,53.08,68.68,102.74,225.84,68.53,154.27,61.28,92.28
Ttpal,13.27,7.42,5.47,11.35,7.35,7.42,8.01,14.92,5.63,10.17,7.45,7.77
Rhot1,36.19,24.39,27.15,50.28,32.99,42.4,42.76,37.68,24.2,33.92,21.87,27.15
Hnf4g,0.13,0.04,0,0,0,0,0,0.11,0.04,0,0,0.01
Rhbdl3,5.17,3.1,6.29,11.13,13.62,13.26,12.42,4.34,2.44,5.09,7.66,5.38
Ada,5.15,3.48,4.99,6.38,5.72,4.77,5.41,5.55,5.07,6.01,4.79,5.73
Serinc3,213.27,155.55,176.85,287.23,217.38,254.35,378.13,284.9,195.84,279.57,149.99,256.05
Tha1,0.8,0.46,1.12,1.02,1.19,0.87,1.08,1.04,0.33,0.94,0.58,0.85
Pgs1,11,6.08,6.72,10.84,12.22,10.4,9.34,12.01,6.96,9.4,8.32,7.93
Birc5,178.5,136.19,129.24,143.19,174.53,144.06,158.13,217.71,201.29,232.86,120.51,163.25
