"","x"
"321","Nt5c3"
"322","Ntng1"
"323","Nucb1"
"324","Nucb2"
"325","Nutf2"
"326","Ogg1"
"327","Orai2"
"328","P4htm"
"329","Pabpc4l"
"330","Pacrg"
"331","Palld"
"332","Pcdh18"
"333","Pced1b"
"334","Pcgf2"
"335","Pdia2"
"336","Pdik1l"
"337","Pdlim7"
"338","Pecam1"
"339","Pfas"
"340","Phlda2"
"341","Pi4k2b"
"342","Picalm"
"343","Pierce2"
"344","Pigv"
"345","Pik3r3"
"346","Pim1"
"347","Pip5k1a"
"348","Pithd1"
"349","Pja2"
"350","Pkd2l2"
"351","Pla2g15"
"352","Plag1"
"353","Plec"
"354","Plin1"
"355","Plxna4"
"356","Pnpla7"
"357","Polg2"
"358","Polh"
"359","Polr3gl"
"360","Pop5"
"361","Ppp1r12b"
"362","Ppp2r2b"
"363","Ppp2r5c"
"364","Ppp6r2"
"365","Prdm11"
"366","Prkaca"
"367","Prkar1b"
"368","Prkcz"
"369","Prr13"
"370","Pten"
"371","Ptges3"
"372","Ptp4a2"
"373","Ptp4a3"
"374","Qpctl"
"375","Rab11fip1"
"376","Rab11fip2"
"377","Rab28"
"378","Rab30"
"379","Rad51d"
"380","Rap2b"
"381","Rasa4"
"382","Rasgrp4"
"383","Rbm12b2"
"384","Rbm47"
"385","Rcan3"
"386","Rec114"
"387","Rec8"
"388","Resf1"
"389","Rexo2"
"390","Rfesd"
"391","Rflnb"
"392","Rgcc"
"393","Rhbdf2"
"394","Ric1"
"395","Ric8b"
"396","Rinl"
"397","Rnf43"
"398","Rock1"
"399","Rph3al"
"400","Rpia"
"401","Rps12"
"402","Rps25"
"403","Rras"
"404","Rspo1"
"405","Runx1"
"406","Rxra"
"407","Samd8"
"408","Samhd1"
"409","Sat1"
"410","Sclt1"
"411","Scn2a"
"412","Scn2b"
"413","Sec11c"
"414","Selenow"
"415","Sema6d"
"416","Senp2"
"417","Septin10"
"418","Serpina1e"
"419","Setdb2"
"420","Sfmbt1"
"421","Sik3"
"422","Sipa1l3"
"423","Sirt6"
"424","Slc17a9"
"425","Slc25a12"
"426","Slc25a19"
"427","Slc25a20"
"428","Slc25a21"
"429","Slc25a45"
"430","Slc2a5"
"431","Slc35e3"
"432","Slc37a1"
"433","Slc39a1"
"434","Slc39a13"
"435","Slc48a1"
"436","Slc7a1"
"437","Smap1"
"438","Smarcd3"
"439","Snurf"
"440","Snw1"
"441","Snx15"
"442","Snx2"
"443","Snx27"
"444","Soat1"
"445","Sohlh2"
"446","Spag8"
"447","Spata7"
"448","Spcs2"
"449","Speg"
"450","Spryd3"
"451","Spsb2"
"452","Srd5a2"
"453","Srxn1"
"454","Ssbp3"
"455","Sspn"
"456","St13"
"457","St6galnac6"
"458","Stard10"
"459","Stk24"
"460","Stx18"
"461","Supt16"
"462","Synj1"
"463","Syt7"
"464","Taf6l"
"465","Taf8"
"466","Taok1"
"467","Tbcel"
"468","Tceanc"
"469","Tcf7l2"
"470","Thumpd2"
"471","Timmdc1"
"472","Tlcd3b"
"473","Tmco6"
"474","Tmem107"
"475","Tmem134"
"476","Tmem171"
"477","Tmem174"
"478","Tmem229b"
"479","Tmem263"
"480","Tmem267"
"481","Tmem37"
"482","Tmem38a"
"483","Tmf1"
"484","Tnfaip8"
"485","Tob1"
"486","Tpk1"
"487","Trerf1"
"488","Trim39"
"489","Trim8"
"490","Trp53i11"
"491","Trp53rka"
"492","Tsc22d2"
"493","Tspan12"
"494","Ttc7"
"495","Txnl4b"
"496","Ubash3a"
"497","Ube2h"
"498","Ube2j2"
"499","Ube2r2"
"500","Ube2v2"
"501","Ubn1"
"502","Uchl4"
"503","Unc119"
"504","Upf1"
"505","Usp25"
"506","Uspl1"
"507","Vamp4"
"508","Vav2"
"509","Vegfa"
"510","Wasf1"
"511","Wdcp"
"512","Wdfy3"
"513","Wdr26"
"514","Wdr91"
"515","Wnt11"
"516","Wnt4"
"517","Wnt6"
"518","Wtap"
"519","Ybx3"
"520","Yme1l1"
"521","Yod1"
"522","Yy1"
"523","Zbtb11"
"524","Zbtb38"
"525","Zbtb45"
"526","Zbtb9"
"527","Zer1"
"528","Zfp384"
"529","Zfp395"
"530","Zfp52"
"531","Zfp654"
"532","Zfp677"
"533","Zfp691"
"534","Zfp747"
"535","Zfp868"
"536","Zfp872"
"537","Zfp874b"
"538","Zfyve1"
"539","Zscan2"
"540","Zscan26"
"541","Zzef1"
"542","1190005I06Rik"
"543","1500009L16Rik"
"544","1700037C18Rik"
"545","1810030O07Rik"
"546","2210408I21Rik"
"547","2300009A05Rik"
"548","2510009E07Rik"
"549","2610008E11Rik"
"550","2810021J22Rik"
"551","3300002I08Rik"
"552","4933427D14Rik"
"553","6330403K07Rik"
"554","9130019O22Rik"
"555","9430038I01Rik"
"556","9930012K11Rik"
"557","Aacs"
"558","Abca5"
"559","Abcd4"
"560","Abhd11"
"561","Abhd14a"
"562","Acaa2"
"563","Acad10"
"564","Acadl"
"565","Acadsb"
"566","Acadvl"
"567","Ackr4"
"568","Adgrb2"
"569","Adgre5"
"570","Adnp"
"571","Adssl1"
"572","Adtrp"
"573","Aggf1"
"574","Ago1"
"575","Agpat2"
"576","Agpat3"
"577","Aida"
"578","Akap11"
"579","Akt1"
"580","Alg9"
"581","Amer1"
"582","Amfr"
"583","Amotl1"
"584","Amz2"
"585","Ankib1"
"586","Ankrd24"
"587","Ankrd28"
"588","Ankrd42"
"589","Antxr2"
"590","Anxa9"
"591","Ap1ar"
"592","Aprt"
"593","Arhgap20"
"594","Arhgap24"
"595","Arhgef25"
"596","Arl13b"
"597","Arl2bp"
"598","Arl5c"
"599","Arl6"
"600","Arpin"
"601","Asap1"
"602","Asb13"
"603","Asf1a"
"604","Ash2l"
"605","Atg16l2"
"606","Atp11a"
"607","Atp9a"
"608","Atrnl1"
"609","AW209491"
"610","Azin2"
"611","B230219D22Rik"
"612","B3glct"
"613","B4galt2"
"614","Bag1"
"615","Batf3"
"616","Bbs7"
"617","Bcas3"
"618","Bcl2l12"
"619","Bclaf3"
"620","Bgn"
"621","Blcap"
"622","Bmp1"
"623","Bmpr1b"
"624","Bnc1"
"625","Brf1"
"626","Bri3"
"627","Bri3bp"
"628","Btbd19"
"629","Btbd9"
"630","Btg1"
"631","C030006K11Rik"
"632","C1qtnf1"
"633","C1qtnf6"
"634","C2cd5"
"635","Cacna2d1"
"636","Cacnb1"
"637","Cacnb3"
"638","Cald1"
"639","Calml4"
