"","x"
"319","Calu"
"320","Camkk2"
"321","Camsap3"
"322","Cand1"
"323","Cand2"
"324","Cant1"
"325","Cap1"
"326","Capn15"
"327","Capn7"
"328","Caprin1"
"329","Car12"
"330","Carmil1"
"331","Caskin1"
"332","Caskin2"
"333","Casp2"
"334","Casp8"
"335","Casp9"
"336","Cbfb"
"337","Cbl"
"338","Cblb"
"339","Cbln4"
"340","Cbr4"
"341","Cbwd1"
"342","Cbx2"
"343","Cbx5"
"344","Cby1"
"345","Cc2d1a"
"346","Ccdc107"
"347","Ccdc115"
"348","Ccdc12"
"349","Ccdc120"
"350","Ccdc126"
"351","Ccdc142"
"352","Ccdc157"
"353","Ccdc163"
"354","Ccdc171"
"355","Ccdc191"
"356","Ccdc194"
"357","ccdc198"
"358","Ccdc22"
"359","Ccdc25"
"360","Ccdc3"
"361","Ccdc66"
"362","Ccdc8"
"363","Ccdc90b"
"364","Ccdc97"
"365","Ccn2"
"366","Ccna2"
"367","Ccnb1"
"368","Ccnf"
"369","Ccnj"
"370","Ccnk"
"371","Ccnl2"
"372","Ccp110"
"373","Cd151"
"374","Cd24a"
"375","Cd276"
"376","Cd2bp2"
"377","Cd302"
"378","Cd320"
"379","Cd38"
"380","Cd81"
"381","Cd9"
"382","Cdc20"
"383","Cdc25c"
"384","Cdc42ep1"
"385","Cdc42ep4"
"386","Cdc42se1"
"387","Cdc45"
"388","Cdc5l"
"389","Cdc6"
"390","Cdc7"
"391","Cdca2"
"392","Cdca3"
"393","Cdca5"
"394","Cdca8"
"395","Cdh1"
"396","Cdh13"
"397","Cdh23"
"398","Cdh3"
"399","Cdip1"
"400","Cdk1"
"401","Cdk11b"
"402","Cdk19"
"403","Cdk2ap2"
"404","Cdk8"
"405","Cdk9"
"406","Cdkn2c"
"407","Cdr2l"
"408","Cdt1"
"409","Cebpd"
"410","Celf1"
"411","Cemip2"
"412","Cenpa"
"413","Cenpe"
"414","Cenpf"
"415","Cenph"
"416","Cenpi"
"417","Cenpk"
"418","Cenpu"
"419","Cenpv"
"420","Cep128"
"421","Cep135"
"422","Cep162"
"423","Cep170b"
"424","Cep20"
"425","Cep295"
"426","Cep55"
"427","Cep68"
"428","Cep76"
"429","Cep89"
"430","Cercam"
"431","Cerk"
"432","Cers6"
"433","Ces1d"
"434","Cetn2"
"435","Cfap20dc"
"436","Chaf1a"
"437","Chaf1b"
"438","Chchd10"
"439","Chchd5"
"440","Chchd7"
"441","Chd1"
"442","Chd7"
"443","Cherp"
"444","Chfr"
"445","Chid1"
"446","Chp2"
"447","Chpf"
"448","Chpf2"
"449","Chtf18"
"450","Chtf8"
"451","Ciao1"
"452","Cibar1"
"453","Cinp"
"454","Cip2a"
"455","Cipc"
"456","Cish"
"457","Cited1"
"458","Ciz1"
"459","Ckap2"
"460","Ckap2l"
"461","Ckap5"
"462","Ckb"
"463","Cks2"
"464","Clasp1"
"465","Clasrp"
"466","Clcn2"
"467","Clcn3"
"468","Clcn5"
"469","Clcn7"
"470","Cldn11"
"471","Cldn12"
"472","Cldn23"
"473","Cldn3"
"474","Cldn4"
"475","Cldn6"
"476","Cldn7"
"477","Cldn9"
"478","Cln8"
"479","Clptm1"
"480","Clspn"
"481","Cltb"
"482","Cltc"
"483","Clu"
"484","Cluh"
"485","Cmas"
