"","x"
"311","Atp5k"
"312","Atp5l"
"313","Atp6ap1l"
"314","Atp6v1f"
"315","Atpif1"
"316","Atraid"
"317","Atrx"
"318","Atxn1"
"319","Atxn3"
"320","Atxn7l1"
"321","Atxn7l3"
"322","Atxn7l3b"
"323","Avpi1"
"324","Avpr1a"
"325","AW146154"
"326","AW551984"
"327","Axin1"
"328","Axin2"
"329","B230307C23Rik"
"330","B3gnt5"
"331","B3gnt7"
"332","B4galnt1"
"333","B4galt1"
"334","B4galt5"
"335","B4gat1"
"336","B9d1"
"337","B9d2"
"338","Babam2"
"339","Bace2"
"340","Bach1"
"341","Bad"
"342","Bag3"
"343","Bag6"
"344","Bahd1"
"345","Bak1"
"346","Bard1"
"347","Barx2"
"348","Basp1"
"349","Baz1a"
"350","Bbc3"
"351","Bbs4"
"352","Bbs5"
"353","BC004004"
"354","BC005537"
"355","BC024063"
"356","BC028528"
"357","BC029722"
"358","BC049715"
"359","BC051142"
"360","Bcam"
"361","Bcap31"
"362","Bcat1"
"363","Bcl11a"
"364","Bcl2"
"365","Bcl2l1"
"366","Bcl2l2"
"367","Bcl3"
"368","Bcl7a"
"369","Bcl9"
"370","Bcl9l"
"371","Bcor"
"372","Bcs1l"
"373","Bdh2"
"374","Becn1"
"375","Best1"
"376","Bhlhe41"
"377","Bicc1"
"378","Bicd2"
"379","Bicdl1"
"380","Bin2"
"381","Bloc1s4"
"382","Bltp2"
"383","Bmf"
"384","Bmp2k"
"385","Bmp4"
"386","Bmp5"
"387","Bmp7"
"388","Boc"
"389","Bod1"
"390","Bod1l"
"391","Bola1"
"392","Bola3"
"393","Borcs7"
"394","Bpgm"
"395","Bphl"
"396","Bpifb4"
"397","Bptf"
"398","Braf"
"399","Brd1"
"400","Brinp1"
"401","Brms1l"
"402","Brwd3"
"403","Bst2"
"404","Btbd10"
"405","Btbd11"
"406","Btbd2"
"407","Btbd6"
"408","Btbd7"
"409","Btc"
"410","Bves"
"411","C130074G19Rik"
"412","C1d"
"413","C1galt1c1"
"414","C1qa"
"415","C1qb"
"416","C1qc"
"417","C1qtnf3"
"418","C1qtnf4"
"419","C1ra"
"420","C1rl"
"421","C2"
"422","C2cd2"
"423","C2cd4b"
"424","C3ar1"
"425","C5ar1"
"426","C87436"
"427","C9orf72"
"428","Caap1"
"429","Cab39"
"430","Cabcoco1"
"431","Cables2"
"432","Cachd1"
"433","Cacna1d"
"434","Cacnb2"
"435","Cacng8"
"436","Calb1"
"437","Calcrl"
"438","Calm1"
"439","Calm2"
"440","Caly"
"441","Camk2g"
"442","Caml"
"443","Camta2"
"444","Capn1"
"445","Capn10"
"446","Capn5"
"447","Capn6"
"448","Capns1"
"449","Caprin2"
"450","Car11"
"451","Car2"
"452","Car3"
"453","Card19"
"454","Card9"
"455","Carmil3"
"456","Casc3"
"457","Casp12"
"458","Casp3"
"459","Casp6"
"460","Casp7"
"461","Cast"
"462","Castor2"
"463","Cav1"
"464","Cavin2"
"465","Cavin3"
"466","Cbarp"
"467","Cbfa2t3"
"468","Cbr1"
"469","Cbr3"
"470","Cbx6"
"471","Cc2d1b"
"472","Cc2d2a"
"473","Ccar2"
"474","Ccbe1"
"475","Ccdc106"
"476","Ccdc112"
"477","Ccdc122"
"478","Ccdc125"
"479","Ccdc136"
"480","Ccdc159"
"481","Ccdc166"
"482","Ccdc167"
"483","Ccdc17"
"484","Ccdc172"
"485","Ccdc181"
"486","Ccdc189"
"487","Ccdc28a"
"488","Ccdc28b"
"489","Ccdc30"
"490","Ccdc32"
"491","Ccdc40"
"492","Ccdc42"
"493","Ccdc50"
"494","Ccdc51"
"495","Ccdc61"
"496","Ccdc62"
"497","Ccdc69"
"498","Ccdc73"
"499","Ccdc85b"
"500","Ccdc85c"
"501","Ccdc88c"
"502","Cck"
"503","Ccl12"
"504","Ccl2"
"505","Ccl27a"
"506","Ccl3"
"507","Ccl4"
"508","Ccl6"
"509","Ccl7"
"510","Ccnb1ip1"
"511","Ccnb2"
"512","Ccnd1"
"513","Ccnd2"
"514","Ccnd3"
"515","Ccne1"
"516","Ccne2"
"517","Ccng2"
"518","Ccnh"
"519","Ccni"
"520","Ccnjl"
"521","Ccnq"
"522","Ccr1"
"523","Ccs"
"524","Cd14"
"525","Cd164l2"
"526","Cd1d1"
"527","Cd200"
"528","Cd248"
"529","Cd2ap"
"530","Cd34"
"531","Cd36"
"532","Cd44"
"533","Cd52"
"534","Cd53"
"535","Cd55"
"536","Cd59a"
"537","Cd63"
"538","Cd68"
"539","Cd82"
"540","Cd86"
"541","Cdadc1"
"542","Cdc14b"
"543","Cdc25b"
"544","Cdc26"
"545","Cdc34"
"546","Cdc42bpa"
"547","Cdc42bpb"
"548","Cdc42ep3"
"549","Cdc42ep5"
"550","Cdca7"
"551","Cdh10"
"552","Cdh11"
"553","Cdh18"
"554","Cdh24"
"555","Cdh6"
"556","Cdipt"
"557","Cdk14"
"558","Cdk16"
"559","Cdk5"
"560","Cdk6"
"561","Cdk7"
"562","Cdkl2"
"563","Cdkn1a"
"564","Cdkn1b"
"565","Cdkn3"
"566","Cdon"
"567","Cdx2"
"568","Cdyl2"
"569","Cebpb"
"570","Cebpzos"
"571","Cela1"
"572","Celf2"
"573","Celf3"
"574","Cenpb"
"575","Cenpx"
"576","Cep112"
"577","Cep131"
"578","Cep170"
"579","Cep19"
"580","Cers4"
"581","Ces2g"
"582","Cetn3"
"583","Cetn4"
"584","Cfap126"
"585","Cfap161"
"586","Cfap20"
"587","Cfap298"
"588","Cfap36"
"589","Cfap418"
"590","Cfap54"
"591","Cfh"
"592","Cflar"
"593","Cfp"
"594","Cga"
"595","Cgn"
"596","Chac2"
"597","Chchd1"
"598","Chchd6"
"599","Chd3"
"600","Chga"
"601","Chgb"
"602","Chit1"
"603","Chmp1b2"
"604","Chmp2a"
"605","Chn1"
"606","Chn2"
"607","Chodl"
"608","Chrac1"
"609","Chrdl2"
"610","Chrm4"
"611","Chst15"
"612","Chst4"
"613","Chsy1"
"614","Churc1"
"615","Cib1"
"616","Cib2"
"617","Cic"
"618","Cir1"
"619","Cisd1"
"620","Cisd2"
"621","Cisd3"
"622","Cit"
"623","Cklf"
"624","Clca3a1"
"625","Clcn6"
"626","Cldn13"
"627","Cldn15"
"628","Cldn18"
"629","Clec11a"
"630","Clec2l"
"631","Clec4a1"
"632","Clec4a2"
"633","Clec4a3"
"634","Clic1"
"635","Clic4"
"636","Clic6"
"637","Clint1"
"638","Clip2"
"639","Clip3"
"640","Clk2"
"641","Clmp"
"642","Cln3"
"643","Clstn3"
"644","Cluap1"
"645","Clybl"
"646","Cma1"
"647","Cmbl"
"648","Cmc4"
"649","Cmpk2"
"650","Cmtm3"
"651","Cnn1"
"652","Cnn2"
"653","Cnnm2"
"654","Cnot11"
"655","Cnrip1"
"656","Cntfr"
"657","Cntln"
"658","Cntn4"
"659","Cntn5"
"660","Coa3"
"661","Coa6"
