"","x"
"324","Cmtm3"
"325","Wwp2"
"326","4931406C07Rik"
"327","Bmper"
"328","Jam3"
"329","Aplp2"
"330","St3gal4"
"331","Rp9"
"332","Glce"
"333","Imp3"
"334","Neil1"
"335","Stra6"
"336","Ctsh"
"337","Plscr1"
"338","Plod2"
"339","Atr"
"340","Atp1b3"
"341","Cmtm7"
"342","Mras"
"343","Cdc25a"
"344","Mdfi"
"345","Abtb2"
"346","Slc10a3"
"347","Rangrf"
"348","Hspa13"
"349","Fkbp1a"
"350","Sox10"
"351","Calhm2"
"352","Gas7"
"353","Fem1c"
"354","Fntb"
"355","Mcee"
"356","Fndc3a"
"357","Cryzl2"
"358","Spr"
"359","Rbm46"
"360","Rbm34"
"361","Vhl"
"362","Brk1"
"363","Jcad"
"364","Tesk2"
"365","Phka1"
"366","Mrps17"
"367","Fhod3"
"368","Trim59"
"369","Mtmr3"
"370","Tbc1d10a"
"371","Arhgap5"
"372","Trim13"
"373","Eogt"
"374","Hacd2"
"375","Thyn1"
"376","Rubcn"
"377","Alg12"
"378","Zhx3"
"379","Uba6"
"380","Cog5"
"381","Apex1"
"382","Sh3bp4"
"383","Eepd1"
"384","Cst13"
"385","Cst11"
"386","Tfb1m"
"387","Pml"
"388","Ss18"
"389","Mycn"
"390","Zfyve28"
"391","Hgsnat"
"392","Stag1"
"393","Paqr7"
"394","Atg14"
"395","Mrpl47"
"396","Slc25a43"
"397","Phc3"
"398","Slc20a2"
"399","Ddhd1"
"400","Limch1"
"401","Pced1a"
"402","Tspan14"
"403","Fkbp14"
"404","Usp38"
"405","Spats2l"
"406","Pigu"
"407","Cdk19"
"408","Zfp280d"
"409","Efl1"
"410","Ctnnal1"
"411","Gcnt1"
"412","Man2a2"
"413","Ctu1"
"414","Rabggtb"
"415","Arhgap18"
"416","Psmd7"
"417","Rreb1"
"418","Tbcd"
"419","Fndc3b"
"420","Rnf122"
"421","Alg1"
"422","Mrps6"
"423","Ldb2"
"424","Gpr37"
"425","Slc26a11"
"426","Mrps35"
"427","Gorab"
"428","Trappc5"
"429","Rabggta"
"430","Slc26a7"
"431","Plekhg1"
"432","Nup88"
"433","Sft2d2"
"434","Tmem205"
"435","Rps19"
"436","Abhd4"
"437","Elmo1"
"438","Ublcp1"
"439","Wnk3"
"440","Pcca"
"441","Tpp2"
"442","Rpl37"
"443","Lman1"
"444","S100a10"
"445","Uggt2"
"446","Slc35e2"
"447","Sanbr"
"448","Bag2"
"449","Sgsm3"
"450","Gnl3"
"451","Atf4"
"452","Prdm10"
"453","Dhrs7b"
"454","Kdm7a"
"455","Mapk6"
"456","Sipa1l1"
"457","Tceal9"
"458","Bex2"
"459","Tuba1c"
"460","Tmem64"
"461","Filip1l"
"462","Pgp"
"463","Dpy19l3"
"464","Als2cl"
"465","Rps2"
"466","Psg22"
"467","Dmd"
"468","Rpl18a"
"469","Tubb2b"
"470","Shroom2"
"471","Vcpip1"
"472","Preb"
"473","Proser2"
"474","2410002F23Rik"
"475","Ddx28"
"476","Glb1"
"477","Mtus1"
"478","Tmem268"
"479","Lrrc8d"
"480","Stxbp6"
"481","Rpl37a"
"482","Spin2c"
"483","B3gntl1"
"484","Rbm12b1"
"485","Mipol1"
"486","Tgif1"
"487","Mtrfr"
"488","Slc38a9"
"489","Cdca4"
"490","Ahcyl"
"491","Bend7"
"492","Zfp407"
"493","Rpl29"
"494","Mterf2"
"495","Fam110b"
"496","Zfp2"
"497","Adamts16"
"498","Tmx2"
"499","Heatr1"
"500","Rictor"
"501","Septin6"
"502","Ccdc126"
"503","Minar2"
"504","Mb21d2"
"505","Zgrf1"
"506","Rap2a"
"507","Pard3b"
"508","Babam2"
"509","Ppp1r36"
"510","Cdc42se2"
"511","Smim30"
"512","Cyp2j6"
"513","Tgm5"
"514","Mat2a"
"515","Ercc6"
"516","Cadps"
"517","Scart2"
"518","Elp6"
"519","Kbtbd13"
"520","Pdlim1"
"521","Tead1"
"522","Eef1d"
"523","Rnf181"
"524","Usp39"
"525","Kdm5d"
"526","Rpgrip1"
"527","Chd6"
"528","Rpl38"
"529","Birc2"
"530","Las1l"
"531","Sptan1"
"532","Rpl36"
"533","Zfp105"
"534","Itpk1"
"535","Mdn1"
"536","Sdhc"
"537","Gm5148"
"538","Rpl18"
"539","Septin9"
"540","Rpl11"
"541","Hspa2"
"542","Rpl3"
"543","Slc10a4-ps"
"544","H2-Eb1"
"545","Trmt61a"
"546","Copz1"
"547","Stk19"
"548","Naca"
"549","Rps7"
"550","Rps17"
"551","Iah1"
"552","Qki"
"553","Btbd3"
"554","Rpl17"
"555","Mtap"
"556","Mapk3"
"557","Kcnma1"
"558","Cyp26b1"
"559","Nmral1"
"560","Cycs"
"561","Uqcrh"
"562","Zar1"
"563","Amd2"
"564","Fbln2"
"565","Cenpj"
"566","Rab3ip"
"567","Garre1"
"568","Zfp617"
"569","Xpo5"
"570","Cnga1"
"571","Rplp0"
"572","Cbln4"
"573","Htatsf1"
"574","Rtl8a"
"575","Gtf2f2"
"576","Nat8f4"
"577","Uty"
"578","Psrc1"
"579","Ddx3y"
"580","Eif2s3y"
"581","Tmem19"
"582","Gmppb"
"583","Chchd2"
"584","Sox13"
"585","Etnk2"
"586","Fryl"
"587","Zscan18"
"588","Srsf3"
"589","Nutf2-ps1"
"590","Trim6"
"591","Sod3"
"592","Armcx5"
"593","Xlr3b"
"594","Ccdc160"
"595","Alg6"
"596","Iqck"
"597","Trim68"
"598","Zfp976"
"599","Tox2"
"600","Itpa"
"601","Ranbp6"
"602","Amd1"
"603","Aarsd1"
"604","Selenoh"
"605","Aunip"
"606","Cisd3"
"607","Alkbh1"
"608","Ankrd39"
"609","Rpl39"
"610","Gm11837"
"611","Rps27"
"612","Rps13"
"613","Sco2"
"614","Rpl41"
"615","Rbm4"
"616","Nupr1l"
"617","Ccdc166"
