,E11.5_XX_WT_rep1,E11.5_XX_WT_rep2,E11.5_XY_WT_rep1,E12.5_XX_WT_rep1,E12.5_XX_WT_rep2,E12.5_XY_WT_rep1,E12.5_XY_WT_rep2,E13.5_XX_WT_rep1,E13.5_XX_WT_rep2,E13.5_XX_WT_rep3,E13.5_XY_WT_rep1,E13.5_XY_WT_rep2
Gnai3,105.53,70.11,112.68,65.27,116.13,59.16,92.05,74.8,110.77,110.79,65.01,83.31
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,24.9,17.06,25.75,19.95,32.5,26.16,34.95,29.65,33.49,27.51,18.78,19.95
H19,7052.31,4702.49,5746.44,5205.61,6501.22,2486.56,3400.19,7199.67,5017.21,6372.5,1993.12,2532.46
Scml2,9.53,6.63,9.63,26.98,42.47,21.49,30.38,46.28,105.71,100.79,65.04,51.37
Apoh,0,0.03,0.08,0,0.1,0.03,0.04,0.1,0.25,0.12,0.03,0
Narf,22.72,17.08,21.9,11.26,17.93,10.88,15.68,14.32,15.49,16.49,13.94,17.15
Cav2,3.19,2.63,2.79,1.69,2.66,2.37,2.1,1.87,2.84,2.48,1.82,2.6
Klf6,19.48,12.76,20.22,8.79,13.64,12.61,19.14,9.17,11.54,10.97,28.2,23.81
Scmh1,36.71,26.62,30.16,36.12,47.73,16,21.96,34.82,65.66,47.93,15.99,21.55
Cox5a,85.92,53.62,116.88,86.54,140.61,78.42,97.72,162.04,139.57,95.75,61.93,65.55
Tbx2,32.35,19.34,35.11,21.58,30.01,40.65,70.5,27.79,20.97,22.81,39.71,49.21
Tbx4,5.92,4.93,4.49,7.95,11.07,4.95,4.8,4.22,4.34,4.33,3.28,3.68
Zfy2,0,0,0.29,0,0,0.34,0.47,0,0,0,0.85,0.68
Ngfr,15.39,10.37,21.35,11.23,23.02,23.79,35.94,16.99,22.33,20.18,23.7,25.97
Wnt3,0.21,0.17,0.35,0.6,0.95,4.83,4.64,0.4,0.41,0.62,5.32,7.15
Wnt9a,4.11,2.97,1.79,7.45,10.53,0.49,0.7,7.87,6.26,7.55,0.7,0.68
Fer,24.55,18.41,24.09,15.12,29.19,16.08,20.25,18.15,21.87,22.68,24.02,24.25
Xpo6,61.8,43.54,71.22,41.32,77.57,49.33,72.94,59.66,74.5,58.52,56.01,56.11
Tfe3,22.44,17.96,18.99,20.04,27.5,14.42,19.97,14.48,18.31,16.95,21.03,24.23
Axin2,19.86,13.78,16.07,23.65,42.95,9.27,12.65,27.88,41.51,43.14,13.45,11.84
Brat1,6.74,3.25,7.97,3.39,6.94,3.75,7.74,6.32,6.06,3.98,7.75,5.66
Gna12,30.48,19.99,43.61,19.34,33.37,26.6,39.46,28.83,30.54,29.04,25.29,31.33
Slc22a18,0.43,0.29,0.2,1.51,1.89,0.15,0.13,3.64,3.31,3.42,0.37,0.23
Itgb2l,0,0,0,0.04,0,0,0,0.01,0,0.03,0,0
Igsf5,0.7,0.27,0.39,0.19,0.14,0.06,0.1,0.15,0.47,0.1,0.71,0.35
Pih1d2,3.31,2.24,3.4,3.12,3.4,4.48,5.1,4.97,6.03,4.71,8.09,8.36
Dlat,22.28,19.21,22.47,20.06,22.28,19.56,27.27,19.45,28.03,25.13,24.9,29.35
Sdhd,94.41,69.99,110.75,92.92,104.94,75.97,90.99,119.93,106.05,101.67,66.14,94.73
Fgf23,0,0,0,0,0,0,0,0.02,0,0,0.02,0
Fgf6,0,0,0,0,0,0,0,0,0.01,0,0,0
Ccnd2,68.58,31.4,78.88,27.27,61.77,26.21,47.98,32.91,42.71,50.09,26.69,35.53
Gpr107,28.05,14.35,26.56,14.59,26.21,16.7,25.02,17.53,21.43,22.32,29.19,25.37
Nalcn,0.23,0.14,0.21,0.3,0.76,0.03,0.07,0.37,0.79,0.75,0.1,0.06
Btbd17,0.36,0.26,0.35,0.24,0.34,0.13,0.14,0.61,0.34,0.6,0.42,0.11
Slfn4,0.04,0.01,0.07,0.02,0.03,0.02,0.01,0.07,0.03,0.1,0.15,0.02
Th,0.51,0.34,0.17,0.07,0.15,0.16,0.4,0.33,0.09,0.07,0.77,1.17
Ins2,0.17,0.28,0.55,0.67,1.72,0,0.62,2.87,0.99,0.53,0.12,0.09
Scnn1g,0.74,0.36,0.51,0,0.02,0.01,0,0.04,0,0,0.01,0.01
Drp2,28.04,20.82,22.6,17.13,20.36,1.98,3.3,11.69,12.02,16.81,2.03,2.38
Tspan32,3.01,1.94,3.65,1.41,2.62,4.26,6.77,1.89,2.36,1.67,2.42,4.25
Lhx2,0.5,0.29,0.41,0.99,1.7,0.46,0.32,2.57,3.14,2.47,0.28,0.44
Clec2g,0.02,0.05,0.02,0.13,0.02,0.09,0.04,0.03,0.09,0.05,3.32,0.79
Gmpr,15.06,9.12,19.42,9.72,16.5,27.97,37.92,20.12,16.02,14.55,32.79,25.42
Glra1,1.65,1.04,1.14,0.29,0.76,0.05,0.02,0.15,0.12,0.49,0.04,0.02
Mid2,2.84,1.87,2.82,1.02,2.11,1.53,2.34,0.93,2.15,3.03,2.52,2.42
Trim25,35.71,24.14,35.04,23.12,55.47,33.92,50.17,17.06,31.13,36.91,43.79,43.08
Dgke,3.6,2.03,3.61,2.79,4.44,3.17,4.77,2.1,4.02,5.06,5.73,5.19
Scpep1,48.42,31.63,42.38,33.08,50.06,30.37,39.39,42.29,43.97,35.52,43.73,47.48
Mnt,27.88,22.54,21.25,14.7,24.64,14.71,26.38,8.63,17.22,15.63,29.03,25.24
Itgb2,0.58,0.53,0.67,0.09,0.33,0.06,0.11,0.43,0.13,0.33,0.12,0.3
Hddc2,39.85,26.36,50.93,38.23,45.89,34.15,43.32,69.21,52.63,40.8,27.5,32.3
Tpd52l1,15.86,18.05,28.61,21.46,15.82,63.19,53.64,17.45,13.54,23.37,34.24,46.88
Pemt,2.88,2.23,3.27,4.87,5.43,4.42,2.49,10.17,11.42,7.5,6.56,4.93
Cdh1,18.57,13.02,13.93,16.03,23.91,25.31,29.56,7.47,8.1,9.42,31.6,40.37
Cdh4,1.01,0.41,0.93,0.32,0.37,0.64,1,0.17,0.21,0.21,0.43,0.37
Ckmt1,1.03,0.53,0.54,0.28,0.27,0.12,0.27,0.29,0.15,0.1,0.89,0.36
Bcl6b,6.67,4.09,8.32,2.1,4.15,3.51,6.06,2.58,2.07,2.78,3.93,3.42
Clec10a,1.08,0.35,0.54,0.2,0.4,0.15,0.07,0.58,0.36,0.36,0.43,0.2
Alox12,1.03,0.6,1.26,0.38,0.52,0.34,0.83,0.17,0.27,0.28,0.36,0.78
Comt,24.12,19.66,26.8,26.79,25.4,16.9,18.82,32.81,23.15,26.83,17.35,18.31
Rtca,54.1,41.37,60.99,50.4,51.22,50.84,57.49,50.35,58.24,50.53,43,49.16
Dbt,18.15,14.09,20.97,11.01,18.31,12.41,17.4,12.05,12.55,19.12,11.18,15.35
Dazap2,67.55,67.69,67.39,69.99,72.66,52.19,54.45,80,110.16,107.91,56.58,61.61
Mcts1,33.26,24.99,39.75,22.93,24.93,21.52,21.49,22.64,18.22,26.49,13.9,23.66
Rem1,2.07,1.19,3.4,1.13,1.43,1.19,2.05,1.61,2.17,1.21,2.44,2.31
Rnf17,19.52,14.73,18.08,42.54,64.24,40.91,43.11,77.2,106.38,100.76,69.55,72.59
Trappc10,9.92,6.06,10.4,6.02,11.51,6.28,8.83,6.65,10.94,10.11,7.12,6.79
Ccm2,23.77,19.34,23.42,25.6,29.81,25.29,27.11,33.47,22.97,29.49,26.61,27.83
Wap,0,0,0,0,0,0,0,0,0,0,0,0
Tbrg4,16.09,10.15,19.68,13.34,18.87,18.02,23.68,14.35,13.4,13.71,14.33,20.77
Tmprss2,3.03,2.87,4.86,0.27,0.15,0.19,0.22,0.12,0.37,0.15,0.21,0.3
Mx1,0.06,0.03,0.47,0.03,0,0.05,0.02,0.09,0.06,0.1,0.49,0.07
Fap,3.66,2.59,4.55,0.34,1.96,0.17,0.67,1.15,1.84,1.26,1.09,0.42
