"","x"
"329","Ncoa2"
"330","Ncoa3"
"331","Nfat5"
"332","Nfatc1"
"333","Nfatc2"
"334","Nfatc3"
"335","Nfatc4"
"336","Nfe2"
"337","Nfe2l1"
"338","Nfe2l2"
"339","Nfe2l3"
"340","Nfia"
"341","Nfib"
"342","Nfic"
"343","Nfil3"
"344","Nfkb1"
"345","Nfkb2"
"346","Nfx1"
"347","Nfxl1"
"348","Nfya"
"349","Nfyb"
"350","Nfyc"
"351","Nkrf"
"352","Nkx3-1"
"353","Nme2"
"354","Npas3"
"355","Nr0b1"
"356","Nr1d1"
"357","Nr1d2"
"358","Nr1h2"
"359","Nr1i2"
"360","Nr2c1"
"361","Nr2c2"
"362","Nr2e3"
"363","Nr2f1"
"364","Nr2f2"
"365","Nr2f6"
"366","Nr3c1"
"367","Nr4a1"
"368","Nr4a2"
"369","Nr5a1"
"370","Nrf1"
"371","Onecut1"
"372","Osr1"
"373","Osr2"
"374","Pa2g4"
"375","Patz1"
"376","Pax2"
"377","Pax8"
"378","Pbx1"
"379","Pbx2"
"380","Pbx3"
"381","Pbx4"
"382","Pcgf2"
"383","Pcgf6"
"384","Peg3"
"385","Phf1"
"386","Phf20"
"387","Phf21a"
"388","Pin1"
"389","Pknox1"
"390","Pknox2"
"391","Plag1"
"392","Plagl1"
"393","Plagl2"
"394","Plscr1"
"395","Plscr2"
"396","Pogk"
"397","Pou2f1"
"398","Ppara"
"399","Ppard"
"400","Prdm10"
"401","Prdm15"
"402","Prdm2"
"403","Prdm4"
"404","Prdm5"
"405","Prdm6"
"406","Preb"
"407","Prmt3"
"408","Prox2"
"409","Prr12"
"410","Prrx2"
"411","Pura"
"412","Purb"
"413","Purg"
"414","Rara"
"415","Rarb"
"416","Rarg"
"417","Rbak"
"418","Rbck1"
"419","Rbpj"
"420","Rbsn"
"421","Rel"
"422","Rela"
"423","Relb"
"424","Repin1"
"425","Rest"
"426","Rexo4"
"427","Rfx1"
"428","Rfx2"
"429","Rfx3"
"430","Rfx5"
"431","Rfx7"
"432","Rfx8"
"433","Rit1"
"434","Rlf"
"435","Rora"
"436","Rorc"
"437","Rreb1"
"438","Rsl1"
"439","Runx1"
"440","Rxra"
"441","Rxrb"
"442","Safb"
"443","Safb2"
"444","Sall2"
"445","Sall3"
"446","Satb1"
"447","Scmh1"
"448","Scrt2"
"449","Scx"
"450","Setdb1"
"451","Setdb2"
"452","Sgsm2"
"453","Six5"
"454","Ski"
"455","Skil"
"456","Smad1"
"457","Smad3"
"458","Smad4"
"459","Smad5"
"460","Smyd3"
"461","Snai1"
"462","Snai2"
"463","Snapc2"
"464","Snapc4"
"465","Snapc5"
"466","Sohlh1"
"467","Sohlh2"
"468","Son"
"469","Sox10"
"470","Sox11"
"471","Sox12"
"472","Sox13"
"473","Sox15"
"474","Sox4"
"475","Sox5"
"476","Sox6"
"477","Sox8"
"478","Sox9"
"479","Sp1"
"480","Sp2"
"481","Sp3"
"482","Sp4"
"483","Sp5"
"484","Sp9"
"485","Spen"
"486","Spi1"
"487","Spic"
"488","Srcap"
"489","Srebf1"
"490","Srebf2"
"491","Srf"
"492","Stat1"
"493","Stat2"
"494","Stat3"
"495","Stat5a"
"496","Stat5b"
"497","Stat6"
"498","Tbp"
"499","Tbpl1"
"500","Tbx1"
"501","Tbx2"
"502","Tbx3"
"503","Tcf12"
"504","Tcf20"
"505","Tcf21"
"506","Tcf23"
"507","Tcf3"
"508","Tcf4"
"509","Tcf7"
"510","Tcf7l1"
"511","Tcf7l2"
"512","Tead1"
"513","Tead2"
"514","Tead3"
"515","Tef"
"516","Terf1"
"517","Terf2"
"518","Tet1"
"519","Tet2"
"520","Tet3"
"521","Tfap4"
"522","Tfcp2"
"523","Tfdp1"
"524","Tfdp2"
"525","Tfe3"
"526","Tfeb"
"527","Tgif1"
"528","Tgif2"
"529","Thap1"
"530","Thap11"
"531","Thap3"
"532","Thap4"
"533","Thap7"
"534","Thra"
"535","Thyn1"
"536","Tigd2"
"537","Tmf1"
"538","Topors"
"539","Trafd1"
"540","Trerf1"
"541","Trp53"
"542","Trps1"
"543","Tsc22d1"
"544","Tshz1"
"545","Tshz2"
"546","Ttf1"
"547","Twist2"
"548","Ubp1"
"549","Usf1"
"550","Usf2"
"551","Vdr"
"552","Vezf1"
"553","Wiz"
"554","Wt1"
"555","Xbp1"
"556","Xpa"
"557","Ybx3"
"558","Yy1"
"559","Zbed3"
"560","Zbed4"
"561","Zbtb1"
"562","Zbtb10"
"563","Zbtb11"
"564","Zbtb12"
"565","Zbtb14"
"566","Zbtb17"
"567","Zbtb18"
"568","Zbtb2"
"569","Zbtb20"
"570","Zbtb21"
"571","Zbtb22"
"572","Zbtb24"
"573","Zbtb25"
"574","Zbtb26"
"575","Zbtb3"
"576","Zbtb38"
"577","Zbtb39"
"578","Zbtb4"
"579","Zbtb40"
"580","Zbtb41"
"581","Zbtb43"
"582","Zbtb44"
"583","Zbtb45"
"584","Zbtb46"
"585","Zbtb48"
"586","Zbtb49"
"587","Zbtb5"
"588","Zbtb6"
"589","Zbtb7a"
"590","Zbtb7b"
"591","Zbtb7c"
"592","Zbtb8a"
"593","Zbtb8b"
"594","Zbtb9"
"595","Zc3h8"
"596","Zeb1"
"597","Zeb2"
"598","Zfand5"
"599","Zfat"
"600","Zfhx2"
"601","Zfhx3"
"602","Zfhx4"
"603","Zfp1"
"604","Zfp105"
"605","Zfp108"
"606","Zfp109"
"607","Zfp11"
"608","Zfp110"
"609","Zfp111"
"610","Zfp113"
"611","Zfp114"
"612","Zfp12"
"613","Zfp128"
"614","Zfp13"
"615","Zfp131"
"616","Zfp14"
"617","Zfp142"
"618","Zfp143"
"619","Zfp146"
"620","Zfp148"
"621","Zfp160"
"622","Zfp180"
"623","Zfp182"
"624","Zfp189"
"625","Zfp2"
"626","Zfp202"
"627","Zfp207"
"628","Zfp212"
"629","Zfp213"
"630","Zfp217"
"631","Zfp219"
"632","Zfp235"
"633","Zfp236"
"634","Zfp239"
"635","Zfp248"
"636","Zfp251"
"637","Zfp260"
"638","Zfp263"
"639","Zfp266"
"640","Zfp273"
"641","Zfp275"
"642","Zfp276"
"643","Zfp277"
"644","Zfp28"
"645","Zfp280b"
"646","Zfp280c"
"647","Zfp280d"
"648","Zfp281"
"649","Zfp282"
"650","Zfp286"
"651","Zfp287"
"652","Zfp292"
"653","Zfp296"
"654","Zfp3"
"655","Zfp30"
"656","Zfp316"
"657","Zfp317"
"658","Zfp318"
"659","Zfp319"
"660","Zfp322a"
"661","Zfp324"
"662","Zfp326"
"663","Zfp329"
"664","Zfp334"
"665","Zfp335"
"666","Zfp341"
"667","Zfp346"
"668","Zfp354a"
"669","Zfp354b"
"670","Zfp354c"
"671","Zfp358"
"672","Zfp362"
"673","Zfp367"
"674","Zfp369"
"675","Zfp37"
"676","Zfp382"
"677","Zfp383"
"678","Zfp384"
"679","Zfp385a"
"680","Zfp385b"
"681","Zfp39"
"682","Zfp395"
"683","Zfp397"
"684","Zfp398"
"685","Zfp407"
"686","Zfp408"
"687","Zfp41"
"688","Zfp410"
"689","Zfp414"
"690","Zfp420"
"691","Zfp422"
"692","Zfp423"
