"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Diff.Exp."
"0610009B22Rik",1782.02915083234,0.574089555787966,0.10890001739283,5.27171225067006,1.351568638346e-07,3.27393322740617e-07,"Up in XX"
"0610012G03Rik",1511.3097133412,0.620797220212183,0.0711538291376027,8.72471977596086,2.66840576520279e-18,1.34771510352299e-17,"Up in XX"
"1110032A03Rik",551.420840519534,0.786888071832761,0.104450903608327,7.53356883137611,4.93719678556578e-14,1.9108238507169e-13,"Up in XX"
"1110032F04Rik",43.4105788276715,-4.02646260549555,0.630633573905324,-6.38478947538565,1.7163342324952e-10,5.24208113178642e-10,"Up in XY"
"1110065P20Rik",964.76085047599,1.57881320620064,0.127983025889395,12.3361140684787,5.78827379602275e-35,6.15374983066178e-34,"Up in XX"
"1190005I06Rik",7.34250959411711,5.15187800344117,1.3447228936636,3.83118189458742,0.000127529178966048,0.000231977760318861,"Up in XX"
"1190007I07Rik",194.811855155645,1.08933374241407,0.149628604443302,7.28025063434205,3.33200552472079e-13,1.22774913102092e-12,"Up in XX"
"1500009L16Rik",220.116582430932,1.26302532223668,0.182932211453082,6.90433528466156,5.04390433842722e-12,1.72477503496179e-11,"Up in XX"
"1600014C10Rik",996.877506580693,0.656855395065292,0.104272510496297,6.29941095633849,2.98778878381737e-10,8.96405241087434e-10,"Up in XX"
"1700001L19Rik",44.7107501530996,1.56492943911757,0.30641319799325,5.10725206801324,3.26877570805063e-07,7.62675417881956e-07,"Up in XX"
"1700003F12Rik",10.3650340488567,4.16068506568381,0.789004328982408,5.27333616920697,1.33965845771814e-07,3.24628661137707e-07,"Up in XX"
"1700010I14Rik",210.657256712155,0.733113514389091,0.211217952970382,3.47088637153817,0.000518743460581057,0.000882424431187618,"Up in XX"
"1700011M02Rik",4.01285917667903,-5.82253713093781,1.56497888144635,-3.7205212159519,0.00019881203852029,0.00035410006751719,"Up in XY"
"1700013H16Rik",61.1846982949994,6.05758340772187,1.28101193387495,4.72874861469729,2.25907881718726e-06,4.89829469388794e-06,"Up in XX"
