"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Diff.Exp."
"1110032F04Rik",43.4105788276715,-2.38177742288628,0.617332696730501,-3.85817475001823,0.000114236960517125,0.000234651804137205,"Up in XY"
"1110065P20Rik",964.76085047599,1.76607531707141,0.129256477426822,13.6633409189978,1.68091276877711e-42,2.70477909320711e-41,"Up in XX"
"1190005I06Rik",7.34250959411711,2.8762671330921,0.772928511703976,3.72125893861925,0.000198232042815208,0.000395858149384611,"Up in XX"
"1190007I07Rik",194.811855155645,0.750502268765715,0.14868485503732,5.04760399825079,4.47385250430603e-07,1.21075718353899e-06,"Up in XX"
"1500009L16Rik",220.116582430932,0.887424360766514,0.183075590092786,4.84731121345424,1.25146027475055e-06,3.23281533212548e-06,"Up in XX"
"1700003F12Rik",10.3650340488567,2.77294728352908,0.664035321446581,4.17590329003628,2.96805905835595e-05,6.55965149805122e-05,"Up in XX"
"1700010I14Rik",210.657256712155,1.01584557582703,0.214068224534586,4.74542907073489,2.08064814520257e-06,5.25328476622547e-06,"Up in XX"
"1700011M02Rik",4.01285917667903,-4.59160664239531,1.60112457924659,-2.86773852697701,0.00413417041997446,0.00689961306774636,"Up in XY"
"1700016K19Rik",10.8926276408216,4.28232073886901,0.885149332094964,4.83796415316007,1.31175791405263e-06,3.38270839533177e-06,"Up in XX"
"1700017B05Rik",3371.81281563803,-1.20634148996338,0.15560421796282,-7.75262718297019,9.0010590555936e-15,4.53384108019992e-14,"Up in XY"
"1700018G05Rik",4.38470535496525,-4.20999201415074,1.42064414558286,-2.96343882262189,0.00304222527849536,0.00518181664565512,"Up in XY"
"1700020L24Rik",4.0468570889902,4.12482992447849,1.24706522312054,3.3076296636329,0.000940891435560503,0.00172277010888923,"Up in XX"
"1700030K09Rik",463.27513783691,-0.603611834434309,0.107549265605779,-5.61242172165862,1.99514472178815e-08,6.11794436397184e-08,"Up in XY"
"1700037C18Rik",81.6167542747404,0.949640232144402,0.207274266881768,4.58156357965116,4.61512244867407e-06,1.12083996123374e-05,"Up in XX"
"1700056E22Rik",13.2152753727215,1.49241247628803,0.543326394757193,2.74680650652905,0.00601786261834061,0.00978220863041035,"Up in XX"
"1700088E04Rik",133.336727850028,1.96786002849673,0.183644389327747,10.7156011446923,8.59967531399927e-27,8.03169104022262e-26,"Up in XX"
"1810030O07Rik",732.608989417176,0.922356508797522,0.0985250218648309,9.36164733932186,7.85030304803895e-21,5.54743426856014e-20,"Up in XX"
