"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Diff.Exp."
"0610009B22Rik",1782.02915083234,0.560755151577806,0.121871208580675,4.6012110498322,4.20041554551641e-06,2.39244243756396e-05,"Up in XX"
"1110032F04Rik",43.4105788276715,2.76286444371694,0.768132748714453,3.59685802791363,0.000322084160207158,0.00121910534103903,"Up in XX"
"1110065P20Rik",964.76085047599,0.554907208262665,0.143122680691973,3.87714375932443,0.000105689914775374,0.000449965600017931,"Up in XX"
"1700028K03Rik",17.9252945465147,-2.11736777267791,0.685675266641377,-3.08800371792517,0.002015059499046,0.00618772442174735,"Up in XY"
"1700030J22Rik",69.2791526972497,1.03034340239252,0.293208303867891,3.51403213620018,0.000441359413831122,0.00161761629764865,"Up in XX"
"1810013L24Rik",985.229380088292,0.70440528402152,0.167032467191012,4.21717583334257,2.4738107545708e-05,0.000120697577741681,"Up in XX"
"1810058I24Rik",3568.48991951148,-1.01789693193686,0.106390955433447,-9.56751377774409,1.09507318640649e-21,3.46446156261192e-20,"Up in XY"
"1810062G17Rik",42.4499834774782,1.24190097047043,0.404184995955979,3.07260532403753,0.00212198935040373,0.00648559364967838,"Up in XX"
"2310022A10Rik",671.128320379116,0.664073743053166,0.185116847897755,3.58732201090607,0.000334091637536043,0.00126090159908895,"Up in XX"
"2410002F23Rik",2542.39080452669,-0.966113576390112,0.0824193938123936,-11.7219204328197,9.84153536797104e-32,5.4718936645919e-30,"Up in XY"
"2900026A02Rik",85.9515306919207,1.23126967756396,0.238288354878637,5.16714162633361,2.37701147132807e-07,1.69901706150835e-06,"Up in XX"
"3830403N18Rik",25.2812463784949,1.88380863599758,0.454113520996365,4.14832095698083,3.34922631394538e-05,0.000159769956254145,"Up in XX"
"3830406C13Rik",859.700130290526,0.593443394916209,0.118074740236664,5.02599788681929,5.00821401412918e-07,3.40464746662913e-06,"Up in XX"
"4921507P07Rik",151.644601012852,-1.90778815285021,0.308287623818056,-6.18833843935345,6.08016794390251e-10,6.38100195622733e-09,"Up in XY"
"4930430F08Rik",486.058112867634,0.661762161151677,0.128283326216577,5.15859839831751,2.4880533992941e-07,1.77063756618609e-06,"Up in XX"
"4930486L24Rik",865.146888473691,-1.64266817425088,0.277202166956915,-5.92588504009132,3.10619841252096e-09,2.98423444544109e-08,"Up in XY"
"4930595M18Rik",32.8138231410406,-6.6714712598275,1.44168561585099,-4.62754929818002,3.70018171316485e-06,2.140175930244e-05,"Up in XY"
"4931406C07Rik",479.717394635836,-0.680378637636759,0.142906436690004,-4.76100764525149,1.92628750125832e-06,1.17282723632065e-05,"Up in XY"
"4931414P19Rik",308.928030896521,0.54748767144599,0.179514174085136,3.0498297654554,0.00228971110506783,0.00692691949497945,"Up in XX"
"4933434E20Rik",6059.27799445643,0.617091940870589,0.170310842587361,3.62332739064485,0.000290837315082338,0.00111406636143824,"Up in XX"
"5031439G07Rik",225.344082647355,-0.706723164435426,0.17640531020147,-4.00624654455293,6.16912563710451e-05,0.000277759460973148,"Up in XY"
"6030468B19Rik",7.62559685151259,8.1530360028037,1.43663507114749,5.67509186330221,1.38614249989034e-08,1.19467928123794e-07,"Up in XX"
"6030498E09Rik",675.998099102628,-2.14557450912616,0.181392040637969,-11.8283828859305,2.78454590620286e-32,1.6027699035439e-30,"Up in XY"
"9030624G23Rik",136.66231217573,-0.64373546415317,0.158812952514802,-4.05341915731446,5.04744475192664e-05,0.000232299799678314,"Up in XY"
"9130023H24Rik",551.993250406309,0.682363499191107,0.172415443275864,3.95767041644483,7.56842883147722e-05,0.000334536844086879,"Up in XX"
"9130401M01Rik",549.311430995409,-0.696802666583065,0.117814690563946,-5.91439542257136,3.33096790075775e-09,3.18612200521968e-08,"Up in XY"
"9330159F19Rik",42.0814340294073,-2.04982401821158,0.408910180742348,-5.01289553243763,5.36170099614342e-07,3.62984379355492e-06,"Up in XY"
"9430038I01Rik",272.433991720914,0.587808358027353,0.164918432676676,3.56423686841456,0.000364916313831842,0.00136462408601226,"Up in XX"
"A2m",80.7413977188579,-1.35003428528603,0.421148358460621,-3.20560262948827,0.00134779973602269,0.00436981423098572,"Up in XY"
"A430005L14Rik",1276.37775210054,0.608593139793236,0.114909353991736,5.29628893255292,1.18179794220125e-07,8.88456381634154e-07,"Up in XX"
"A530016L24Rik",75.7505003152975,-2.13087859004031,0.513949336695964,-4.14608685700254,3.38205575844436e-05,0.000161218316453243,"Up in XY"
"A930009A15Rik",7.0225830478029,-3.16367447439139,0.987582488653825,-3.20345339324901,0.00135790016972721,0.00439710622494565,"Up in XY"
"AA986860",26.0054954284632,1.79888308837363,0.525740580511706,3.42161734333455,0.00062249856575418,0.00220064022190046,"Up in XX"
"AB124611",16.0417235106777,2.46019738680144,0.547844185722322,4.49068813892351,7.09934342873961e-06,3.86661197331854e-05,"Up in XX"
"AI467606",31.0086384884778,3.58441361604547,0.496728926355938,7.21603559982132,5.3525050421421e-13,8.03860125064698e-12,"Up in XX"
"AI661453",52.6866103972852,2.35625430494883,0.403386284199739,5.84118597295222,5.18305043515432e-09,4.8200524545001e-08,"Up in XX"
"AU015836",780.902980788244,-4.57059373662061,0.31390969068515,-14.5602186623951,5.02966656382554e-48,5.86764493954861e-46,"Up in XY"
"AU021092",252.614756959745,-3.35475795504321,0.349720876926796,-9.59267283246986,8.58321332257767e-22,2.73532354323902e-20,"Up in XY"
"AW551984",1206.93678517237,1.47031688670504,0.156570289342985,9.39077837101101,5.95584707576471e-21,1.78075738883162e-19,"Up in XX"
"Aagab",3367.84023294979,-1.29347744563821,0.144985777197392,-8.92140919365623,4.60392180853312e-19,1.22764984388355e-17,"Up in XY"
"Aamdc",702.626863956508,-0.523636898483625,0.128708736604447,-4.06838659362252,4.73397917531946e-05,0.00021903035377027,"Up in XY"
"Aard",1326.8096857348,-3.28470317643274,0.30374648072654,-10.8139629093841,2.95617253053544e-27,1.30933390793139e-25,"Up in XY"
"Aass",744.860998835234,-2.73649620702908,0.266438298459966,-10.2706563690214,9.55523180148254e-25,3.70470797383296e-23,"Up in XY"
"Aatf",780.245220566328,-0.66659149322329,0.101193148525117,-6.58731843942813,4.47841105379608e-11,5.44831646451578e-10,"Up in XY"
"Abca1",1005.000674004,0.592679485609419,0.123254160523617,4.80859618118819,1.51993894481487e-06,9.45691535854812e-06,"Up in XX"
"Abca2",501.528120386836,-1.00664920291614,0.213523800788013,-4.71445899333512,2.42353803399039e-06,1.45123501155447e-05,"Up in XY"
"Abca4",100.244172030285,1.12337027584513,0.267474727884009,4.19991183739902,2.67018931045652e-05,0.00012940910063214,"Up in XX"
"Abca7",131.840875436215,0.882586648564666,0.271708304218653,3.24828735397951,0.0011610195418931,0.00383368241960455,"Up in XX"
"Abca9",132.749941082361,3.22424320998165,0.252894914670087,12.7493398362234,3.14396335087842e-37,2.34737286529014e-35,"Up in XX"
"Abcb1a",92.1697537652297,-6.47887683984038,0.515598589073595,-12.565738109333,3.25820043806154e-36,2.32631950402798e-34,"Up in XY"
"Abcb1b",32.0053524112791,-1.75083341519108,0.394571848265869,-4.43729937370327,9.1094559246227e-06,4.87005528277906e-05,"Up in XY"
"Abcc3",62.483126469594,2.25127634900885,0.364464798017584,6.17693769399434,6.53568500490462e-10,6.80738172434623e-09,"Up in XX"
"Abcd1",333.884577867567,0.776069146289396,0.210617027374773,3.6847407636632,0.000228935531080529,0.000897471241853644,"Up in XX"
"Abcd3",2324.00357979992,-1.169525692103,0.0941647997461933,-12.4199880980502,2.03591781472136e-35,1.36416934190509e-33,"Up in XY"
"Abcf1",4567.72387805823,0.523151232725808,0.12031683911236,4.34811317007135,1.37313748827833e-05,7.08565905256572e-05,"Up in XX"
"Abcg1",1853.33526121829,1.86009759355987,0.263723359849474,7.05321513657934,1.7483022041759e-12,2.5020061993168e-11,"Up in XX"
