"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Diff.Exp."
"0610009B22Rik",1782.02915083234,0.930360853302884,0.108931306524286,8.5408032179937,1.33292036923921e-17,5.20344713011041e-17,"Up in XX"
"1110032A03Rik",551.420840519534,1.64812771844814,0.106698198964944,15.4466311000211,7.94909798229583e-54,1.28543210688957e-52,"Up in XX"
"1110032F04Rik",43.4105788276715,-4.38530111636973,0.704316245414386,-6.22632396302264,4.77506187113852e-10,1.20725538715743e-09,"Up in XY"
"1110065P20Rik",964.76085047599,1.91385661716971,0.12864810440549,14.8766794972537,4.67114169620816e-50,6.79656318515099e-49,"Up in XX"
"1190005I06Rik",7.34250959411711,5.94947898204027,1.34227155163652,4.43239594461087,9.31916805911551e-06,1.72764259166293e-05,"Up in XX"
"1190007I07Rik",194.811855155645,0.867580054338819,0.150601494143605,5.76076657985573,8.37327696474281e-09,1.95157397112611e-08,"Up in XX"
"1600012H06Rik",867.674607723685,0.551755453250488,0.0878830340377652,6.27829318015337,3.42309980512336e-10,8.72706771780329e-10,"Up in XX"
"1600014C10Rik",996.877506580693,0.902060188318689,0.104606425058826,8.62337268300117,6.50104468564833e-18,2.58577320738755e-17,"Up in XX"
"1700001L19Rik",44.7107501530996,2.05316077038471,0.323695049980952,6.34288590605735,2.25500437580431e-10,5.83096916173742e-10,"Up in XX"
"1700010I14Rik",210.657256712155,0.85727591187858,0.215030364799722,3.98676676513589,6.69798104945945e-05,0.00011574635682084,"Up in XX"
"1700011M02Rik",4.01285917667903,-5.46385571445245,1.57274965812627,-3.47407846266006,0.000512611112164591,0.000817100987134628,"Up in XY"
"1700013H16Rik",61.1846982949994,9.30733653798088,1.12813780005171,8.25017700635003,1.58160088428383e-16,5.88584367816932e-16,"Up in XX"
"1700016K19Rik",10.8926276408216,6.18201499020736,1.28688042875488,4.80387676436166,1.55622633985513e-06,3.07062116528951e-06,"Up in XX"
"1700017B05Rik",3371.81281563803,-3.8130986293044,0.161832562172159,-23.5619987604718,9.45793320640374e-123,6.94254804915007e-121,"Up in XY"
"1700018G05Rik",4.38470535496525,-3.49881135006225,1.24344340214129,-2.81380828756425,0.00489584164959738,0.00707700707972556,"Up in XY"
"1700025G04Rik",201.48201465307,0.832883907736802,0.306299667770615,2.71917992532901,0.00654439986671709,0.00934832498726638,"Up in XX"
"1700028K03Rik",17.9252945465147,2.14556580040183,0.477494562749392,4.49338268492055,7.01006466377903e-06,1.31392203266299e-05,"Up in XX"
"1700029J07Rik",65.7147372419885,0.98176914488013,0.272998500455711,3.5962437274977,0.000322845332009682,0.000523881906115066,"Up in XX"
"1700030K09Rik",463.27513783691,-1.13219634691514,0.114748962484351,-9.86672404179295,5.80288715081576e-23,2.93082812186157e-22,"Up in XY"
"1700037H04Rik",1181.70200084776,-0.778447047987844,0.0793338864692415,-9.81228933350764,9.96809740402136e-23,4.98061799927125e-22,"Up in XY"
"1700088E04Rik",133.336727850028,2.50565154993719,0.201290038987792,12.4479659427616,1.43454675567831e-35,1.22910084653723e-34,"Up in XX"
"1700123O20Rik",1960.95686002114,0.600288460840423,0.0675247896903081,8.88989752642772,6.11652920262693e-19,2.56972895696217e-18,"Up in XX"
"1810013L24Rik",985.229380088292,1.50784508782006,0.149414412362768,10.0916977417086,6.01205825348664e-24,3.17644776142565e-23,"Up in XX"
"1810030O07Rik",732.608989417176,1.09662073875897,0.101354720186801,10.819631653443,2.77891966214096e-27,1.69669926661373e-26,"Up in XX"
"1810037I17Rik",3237.78203771396,-0.649024253489037,0.0851901521551719,-7.6185361461364,2.56568646134937e-14,8.42504631917336e-14,"Up in XY"
"1810055G02Rik",1375.99994794861,-0.884080687277917,0.068191728387109,-12.9646323416117,1.94159102776266e-38,1.86124933006214e-37,"Up in XY"
"1810062G17Rik",42.4499834774782,-1.68759914655229,0.316670057666885,-5.3292033954392,9.86444754241199e-08,2.13392171505224e-07,"Up in XY"
"2010003K11Rik",15.8744473755604,-5.08294666377694,1.0859212213431,-4.680769252755,2.85800477718454e-06,5.52161620858985e-06,"Up in XY"
"2210016F16Rik",2177.00417677543,0.773296342899745,0.0786060879524195,9.83761389280464,7.75277170366487e-23,3.897565028091e-22,"Up in XX"
"2210016L21Rik",981.842912606856,1.21603424459835,0.125009562957495,9.72752976515734,2.30113078604827e-22,1.12947313488004e-21,"Up in XX"
"2300009A05Rik",114.094343683288,0.681556004309764,0.18552249685867,3.67371082132951,0.000239053266485455,0.000393235550786724,"Up in XX"
