"","x"
"1","Adnp2"
"2","Aebp1"
"3","Aebp2"
"4","Ahctf1"
"5","Ahdc1"
"6","Ahr"
"7","Aire"
"8","Akap8"
"9","Akap8l"
"10","Akna"
"11","Ankzf1"
"12","Arhgap35"
"13","Arid2"
"14","Arid3a"
"15","Arid3b"
"16","Arid5a"
"17","Arid5b"
"18","Arnt"
"19","Arnt2"
"20","Arntl"
"21","Arx"
"22","Ash1l"
"23","Atf1"
"24","Atf2"
"25","Atf3"
"26","Atf4"
"27","Atf5"
"28","Atf6"
"29","Atf6b"
"30","Atf7"
"31","Atmin"
"32","Atoh8"
"33","Bach1"
"34","Bach2"
"35","Batf3"
"36","Baz2a"
"37","Baz2b"
"38","Bbx"
"39","Bcl11a"
"40","Bcl6"
"41","Bhlhe40"
"42","Bhlhe41"
"43","Bmyc"
"44","Bnc1"
"45","Bnc2"
"46","Bptf"
"47","Brf2"
"48","Camta1"
"49","Camta2"
"50","Carf"
"51","Cbx2"
"52","Cc2d1a"
"53","Ccdc17"
"54","Cdc5l"
"55","Cebpa"
"56","Cebpb"
"57","Cebpd"
"58","Cebpe"
"59","Cebpg"
"60","Cebpz"
"61","Cenpa"
"62","Cenpb"
"63","Cenpt"
"64","Cggbp1"
"65","Champ1"
"66","Chchd3"
"67","Cic"
"68","Clock"
"69","Creb1"
"70","Creb3"
"71","Creb3l1"
"72","Creb3l2"
"73","Creb3l4"
"74","Creb5"
"75","Crebzf"
"76","Crem"
"77","Csrnp1"
"78","Csrnp2"
"79","Ctcf"
"80","Cux1"
"81","Cxxc1"
"82","Cxxc5"
"83","Dach1"
"84","Dbp"
"85","Ddit3"
"86","Deaf1"
"87","Dmrt1"
"88","Dmrt3"
"89","Dmrta1"
"90","Dmtf1"
"91","Dnmt1"
"92","Dnttip1"
"93","Dot1l"
"94","Dpf1"
"95","Dpf3"
"96","Dr1"
"97","Drap1"
"98","Dzip1"
"99","E2f1"
"100","E2f2"
"101","E2f3"
"102","E2f4"
"103","E2f5"
"104","E2f6"
"105","E2f7"
"106","E2f8"
"107","E430018J23Rik"
"108","E4f1"
"109","Ebf4"
"110","Eea1"
"111","Egr1"
"112","Egr2"
"113","Egr3"
"114","Elf1"
"115","Elf2"
"116","Elf3"
"117","Elf4"
"118","Elk1"
"119","Elk3"
"120","Elk4"
"121","Emx2"
"122","Epas1"
"123","Erf"
"124","Esr1"
"125","Esrra"
"126","Ets1"
"127","Ets2"
"128","Etv1"
"129","Etv3"
"130","Etv4"
"131","Etv5"
"132","Etv6"
"133","Fbxl19"
"134","Fiz1"
"135","Fli1"
"136","Flywch1"
"137","Fos"
"138","Fosb"
"139","Fosl2"
"140","Foxa3"
"141","Foxj2"
"142","Foxj3"
"143","Foxk1"
"144","Foxk2"
