,x
Agap1,c
Agap3,h
Agbl3,b
Agbl5,f
Agfg2,f
Aggf1,a
Agk,b
Agl,f
Agmat,g
Ago1,d
Ago2,d
Ago4,b
Agpat1,f
Agpat2,c
Agpat3,d
Agpat4,g
Agpat5,b
Agps,e
Agrn,f
Agt,g
Agtpbp1,d
Agtr1a,b
Agtr2,d
Agtrap,a
Ahctf1,e
Ahcy,g
Ahcyl2,e
Ahdc1,f
Ahi1,h
Ahnak,c
Ahr,g
Ahsa1,c
Ahsa2,c
Ahsg,g
Aida,c
Aif1,d
Aif1l,d
Aifm2,c
Aifm3,c
Aig1,d
Aim2,d
Aip,b
Aire,c
Ajuba,h
Ak1,e
Ak2,f
Ak3,g
Ak4,c
Ak5,d
Ak6,g
Ak7,b
Ak8,b
Akap1,d
Akap11,b
Akap12,g
Akap13,e
Akap17b,b
Akap5,a
Akap7,b
Akap9,b
Akip1,b
Akirin1,e
Akna,f
Akr1a1,e
Akr1b10,b
Akr1b3,g
Akr1b7,g
Akr1b8,e
Akr1c13,b
Akr1c14,b
Akr1c18,c
Akr1c19,d
Akr1cl,e
Akr1e1,b
Akr7a5,f
Akt1,c
Akt1s1,g
Akt2,f
Akt3,d
Aktip,b
Alad,b
Alas1,b
Alas2,d
Alcam,b
Aldh16a1,f
Aldh18a1,f
Aldh1a1,g
Aldh1a2,b
Aldh1a3,c
Aldh1a7,b
Aldh1b1,c
Aldh1l1,g
Aldh3a2,h
Aldh3b1,g
Aldh3b2,d
Aldh3b3,b
Aldh4a1,f
Aldh5a1,c
Aldh6a1,a
Aldh7a1,g
Aldh9a1,e
Aldoa,g
Aldoc,b
Alg1,a
Alg10b,e
Alg11,e
Alg12,g
Alg13,g
Alg6,g
Alg8,h
Alg9,d
Alkbh1,h
Alkbh3,a
Alkbh4,f
Alkbh5,d
Alkbh7,b
Alox5,d
Alox5ap,d
Alpk1,c
Alpk3,c
Alpl,h
Alppl2,h
Als2,e
Als2cl,g
Alx1,e
Alyref,d
Alyref2,b
Amacr,b
Ambp,d
Ambra1,f
Amdhd2,f
Amer1,c
Amer2,d
Amfr,d
Amh,g
Amhr2,a
Amigo2,b
Amigo3,g
Ammecr1,e
Ammecr1l,g
Amn1,g
Amot,d
Amotl1,c
Amotl2,h
Ampd2,f
Ampd3,d
Amph,b
Amz2,c
Anapc1,f
Anapc10,b
Anapc11,c
Anapc13,b
Anapc15,h
Anapc5,b
Ang,c
Angel1,d
Angpt1,d
Angpt2,d
Angpt4,c
Angptl1,a
Angptl2,g
Angptl4,d
Angptl6,b
Angptl7,b
Ank,g
Ank1,h
Ank2,d
Ank3,b
Ankfy1,d
Ankhd1,b
Ankib1,d
Ankle1,h
Ankmy2,b
Ankra2,b
Ankrd1,e
Ankrd10,c
Ankrd12,b
Ankrd13a,g
Ankrd13b,d
Ankrd13d,c
Ankrd17,b
Ankrd23,c
Ankrd24,c
Ankrd28,c
Ankrd29,b
Ankrd33b,e
Ankrd34a,d
Ankrd35,c
Ankrd37,c
Ankrd39,a
Ankrd42,b
Ankrd44,e
Ankrd45,d
Ankrd46,c
Ankrd50,g
Ankrd52,f
Ankrd54,c
Ankrd55,c
Ankrd6,e
Ankrd63,g
Ankrd9,h
Anks1,e
Ankzf1,f
Anln,h
Ano1,b
Ano4,h
Ano6,e
Anp32b,e
Anp32e,e
Anpep,c
Antxr1,h
Antxr2,c
Anxa1,b
Anxa2,b
Anxa3,d
Anxa4,a
Anxa5,g
Anxa6,c
Anxa9,e
Aoc3,g
Aox3,b
Aox4,c
Ap1ar,d
Ap1b1,f
Ap1m2,g
Ap1s2,e
Ap2a1,f
Ap2a2,f
Ap2b1,f
Ap2m1,c
Ap2s1,c
Ap3m2,g
Ap4e1,g
Ap4m1,f
Ap4s1,c
Ap5b1,f
Ap5m1,g
Ap5s1,b
Ap5z1,f
Apaf1,f
Apba2,g
Apba3,f
Apbb1,d
Apbb1ip,d
Apc,g
Apcdd1,c
Apeh,f
Apex1,a
Apex2,f
Aph1a,f
Aph1b,e
Aph1c,b
Apip,b
Apln,b
Aplp1,d
Aplp2,g
Apmap,g
Apoa1,d
Apoa4,g
Apobec1,d
Apobec2,g
Apoc1,b
Apoc2,a
Apoc3,g
Apoc4,c
Apoe,c
Apol10b,b
Apol6,g
Apold1,b
Apoo,b
Apool,b
Appbp2,g
Appl2,h
Aprt,c
Aptx,b
Aqp1,e
Aqp11,b
Aqp12,g
Aqp2,c
Aqp3,d
Aqp5,e
Aqp8,d
Aqr,f
Arap1,d
Arap2,a
Arap3,d
Arc,c
Arcn1,e
Arel1,g
Arf1,g
Arf2,b
Arf4,e
Arf5,d
Arf6,e
Arfgap1,g
Arfgap3,b
Arfgef1,c
Arfgef2,f
Arfip1,e
Arfip2,f
Arg1,b
Arglu1,b
Arhgap10,d
Arhgap11a,h
Arhgap17,f
Arhgap18,g
Arhgap19,e
Arhgap20,d
Arhgap21,d
Arhgap22,c
Arhgap23,c
Arhgap24,c
Arhgap25,d
Arhgap26,b
Arhgap27,d
Arhgap28,d
Arhgap29,c
Arhgap30,d
Arhgap31,h
Arhgap32,a
Arhgap33,h
Arhgap36,c
Arhgap39,d
Arhgap4,g
Arhgap42,c
Arhgap44,b
Arhgap5,g
Arhgap6,c
Arhgap8,c
Arhgap9,h
Arhgdia,f
Arhgdib,d
Arhgdig,g
Arhgef1,f
Arhgef10,g
Arhgef10l,d
Arhgef11,b
Arhgef12,b
Arhgef16,e
Arhgef17,g
Arhgef18,f
Arhgef19,c
Arhgef2,f
Arhgef25,c
Arhgef28,g
Arhgef3,g
Arhgef39,h
Arhgef4,g
Arhgef40,f
Arhgef5,d
Arhgef6,d
Arhgef7,f
Arhgef9,d
Arid1b,b
Arid3a,d
Arid3b,f
Arid4a,b
Arid4b,b
Arid5a,f
Arid5b,a
Arih2,f
Arl1,g
Arl10,f
Arl13b,b
Arl14,g
Arl14ep,b
Arl16,b
Arl2,b
Arl2bp,d
Arl3,b
Arl4a,b
Arl4c,d
Arl4d,b
Arl5a,e
Arl5c,c
Arl6,c
Arl6ip1,b
Arl6ip5,b
Arl6ip6,g
Armc2,g
Armc5,f
Armc6,f
Armc7,b
Armcx1,a
Armcx2,d
Armcx3,e
Armcx4,e
Armcx5,a
Armcx6,b
Arnt,f
Arnt2,c
Arntl2,c
Arpc1a,g
Arpc1b,g
Arpc2,b
Arpc3,f
Arpc5,c
Arpc5l,a
Arpin,b
Arpp19,e
Arrb1,e
Arrb2,d
Arrdc2,f
Arrdc3,e
Arrdc4,b
Arsa,f
Arsb,g
Arsg,d
Arsk,a
Art1,b
Art3,g
Art4,d
Art5,c
Arvcf,d
Arx,c
Arxes1,e
As3mt,b
Asah1,g
Asah2,g
Asap1,c
Asap2,e
Asap3,c
Asb1,c
Asb12,d
Asb13,c
Asb2,d
Asb3,c
Asb4,d
Asb6,f
Asb8,c
Ascc1,b
Ascc2,f
Ascc3,e
Ascl1,d
Asf1a,c
Asf1b,a
Asgr1,c
Ash2l,d
Asic2,b
Asic4,h
Asl,b
Asns,d
Aspa,b
Asph,e
Asphd2,c
Aspm,h
Ass1,g
Aste1,g
Asxl1,g
Asxl2,g
Asxl3,d
Asz1,a
Atad1,g
Atad2,h
Atad2b,b
Atad3a,f
Atad5,h
Atat1,a
Atf1,g
Atf2,c
Atf3,a
Atf4,h
Atf5,d
Atf6b,f
Atf7,g
Atf7ip2,b
Atg101,g
Atg14,a
Atg16l1,f
Atg16l2,h
Atg2a,f
Atg3,b
Atg4a,b
Atg4c,b
Atg4d,f
Atg5,b
Atg9a,f
Atg9b,e
Atic,f
Atl1,b
Atl2,g
Atl3,g
Atm,g
Atn1,f
Atoh8,a
Atox1,b
Atp10a,d
Atp11a,c
Atp11c,d
Atp13a1,f
Atp13a2,f
Atp13a3,b
Atp1a1,f
Atp1a2,g
Atp1a3,e
Atp1b1,b
Atp1b2,g
Atp1b3,g
Atp2a1,f
Atp2a2,g
Atp2a3,g
Atp2b1,g
Atp2b3,b
Atp2b4,h
Atp2c2,d
Atp4a,h
Atp5b,f
Atp5c1,g
Atp5d,f
Atp5e,a
Atp5g1,b
Atp5g2,a
Atp5h,b
Atp5k,b
Atp5l,b
Atp5o,b
Atp6ap1l,b
Atp6v0a1,g
Atp6v0a2,f
Atp6v0c,g
Atp6v0e,g
Atp6v1b2,c
Atp6v1c1,b
Atp6v1d,b
Atp6v1e1,g
Atp6v1f,b
Atp6v1h,g
Atp7a,e
Atp8a1,g
Atp8a2,g
Atp8b1,e
Atp8b2,g
Atp8b3,c
Atp8b4,b
Atp8b5,g
Atp9a,b
Atp9b,f
Atpif1,b
Atr,g
Atraid,b
Atrn,d
Atrnl1,a
Atrx,b
Atxn1,a
Atxn2,e
Atxn2l,f
Atxn3,d
Atxn7,a
Atxn7l1,c
Atxn7l2,f
Atxn7l3,f
Atxn7l3b,b
Auh,g
Aunip,g
Aup1,g
Aurka,h
Aurkaip1,b
Aurkb,h
Auts2,f
Avl9,g
Avpi1,b
Avpr1a,d
Axin1,b
Axin2,b
Axl,f
Azi2,e
Azin1,e
Azin2,d
B230217C12Rik,c
B230219D22Rik,d
B230307C23Rik,b
B2m,h
B3galnt1,g
B3galt1,d
B3galt4,a
B3galt6,g
B3gat1,b
B3gat3,f
B3glct,c
B3gnt2,g
B3gnt5,d
B3gnt7,c
B3gnt8,f
B3gnt9,c
B3gntl1,g
B4galnt1,d
B4galnt2,d
B4galnt3,g
B4galnt4,c
B4galt1,a
B4galt2,c
B4galt3,g
B4galt5,c
B4galt6,d
B4galt7,g
B4gat1,b
B630019K06Rik,g
B9d1,b
B9d2,b
BC004004,b
BC005537,d
BC028528,b
BC029722,b
BC035044,d
BC049715,b
BC049762,b
BC051142,b
BC055324,h
Bace2,b
Bach1,e
Bad,c
Bag1,d
Bag2,g
Bag3,d
Bag6,f
Bahcc1,f
Bahd1,d
Baiap2,h
Bak1,d
Bank1,d
Bap1,f
Bard1,h
Barx2,e
Basp1,g
Batf,d
Batf3,d
Bax,d
Baz1a,b
Baz2a,g
Baz2b,b
Bbc3,h
Bbip1,b
Bbs12,c
Bbs4,b
Bbs5,b
Bbs7,b
Bbs9,g
Bbx,a
Bcam,g
Bcan,h
Bcap31,b
Bcar1,g
Bcar3,g
Bcas2,b
Bcas3,c
Bcat1,b
Bcat2,g
Bcdin3d,a
Bche,g
Bckdhb,c
Bcl10,g
Bcl11a,d
Bcl11b,g
Bcl2,c
Bcl2a1b,d
Bcl2l1,e
Bcl2l11,e
Bcl2l12,b
Bcl2l13,h
Bcl2l2,g
Bcl3,c
Bcl6,b
Bcl7a,a
Bcl7c,f
Bcl9,f
Bcl9l,d
Bclaf1,e
Bcor,e
Bcorl1,f
Bcs1l,b
Bdh1,g
Bdh2,c
Bean1,b
Becn1,b
Bend3,e
Bend4,h
Bend5,e
Bend7,g
Best1,c
Bet1,e
Bex1,h
Bex2,g
Bex4,g
Bfsp1,g
Bgn,c
Bhlhe40,h
Bhlhe41,b
Bhmt,c
Bicc1,d
Bicd1,h
Bicd2,d
Bik,g
Bin2,d
Bin3,c
Birc2,g
Birc3,g
Birc5,h
Birc6,b
Blcap,c
Blm,h
Bloc1s3,g
Blvrb,c
Bmf,d
Bmi1,d
Bmp1,c
Bmp2,c
Bmp2k,a
Bmp4,d
Bmp5,c
Bmp6,e
Bmp7,b
Bmp8a,g
Bmper,e
Bmpr1a,b
Bmpr1b,c
Bmpr2,a
Bms1,g
Bmyc,c
Bnc1,c
Bnc2,c
Bnip2,g
Bnip3,g
Bnip3l,c
Boc,c
Bod1,b
Bod1l,b
Bok,h
Bola1,b
Bola2,b
Bola3,b
Bop1,e
Bora,h
Bpgm,d
