"","x"
"1","Adnp"
"2","Adnp2"
"3","Aebp1"
"4","Aebp2"
"5","Ahctf1"
"6","Ahdc1"
"7","Ahr"
"8","Aire"
"9","Akap8"
"10","Akap8l"
"11","Akna"
"12","Alx1"
"13","Ankzf1"
"14","Arhgap35"
"15","Arid2"
"16","Arid3a"
"17","Arid3b"
"18","Arid5a"
"19","Arid5b"
"20","Arnt"
"21","Arnt2"
"22","Arntl"
"23","Arx"
"24","Ascl1"
"25","Ash1l"
"26","Atf1"
"27","Atf2"
"28","Atf3"
"29","Atf4"
"30","Atf5"
"31","Atf6"
"32","Atf6b"
"33","Atf7"
"34","Atmin"
"35","Atoh8"
"36","BC025920"
"37","Bach1"
"38","Bach2"
"39","Barx2"
"40","Batf"
"41","Batf3"
"42","Baz2a"
"43","Baz2b"
"44","Bbx"
"45","Bcl11a"
"46","Bhlhe40"
"47","Bhlhe41"
"48","Bmyc"
"49","Bnc1"
"50","Bnc2"
"51","Bptf"
"52","Brf2"
"53","Camta1"
"54","Camta2"
"55","Carf"
"56","Cbx2"
"57","Cc2d1a"
"58","Ccdc17"
"59","Cdc5l"
"60","Cdx2"
"61","Cebpb"
"62","Cebpd"
"63","Cebpg"
"64","Cebpz"
"65","Cenpa"
"66","Cenpb"
"67","Cenpt"
"68","Cggbp1"
"69","Champ1"
"70","Chchd3"
"71","Cic"
"72","Clock"
"73","Creb1"
"74","Creb3"
"75","Creb3l1"
"76","Creb3l2"
"77","Creb3l4"
"78","Creb5"
"79","Crebzf"
"80","Crem"
"81","Csrnp1"
"82","Csrnp2"
"83","Ctcf"
"84","Cux1"
"85","Cux2"
"86","Cxxc1"
"87","Cxxc4"
"88","Cxxc5"
"89","Dach2"
"90","Dbp"
"91","Dbx2"
"92","Ddit3"
"93","Deaf1"
"94","Dlx2"
"95","Dmrt1"
"96","Dmrt2"
"97","Dmrt3"
"98","Dmrta1"
"99","Dmtf1"
"100","Dnmt1"
"101","Dnttip1"
"102","Dot1l"
"103","Dpf1"
"104","Dpf3"
"105","Dr1"
"106","Drap1"
"107","Dzip1"
"108","E2f1"
"109","E2f2"
"110","E2f3"
"111","E2f4"
"112","E2f5"
"113","E2f6"
"114","E2f7"
"115","E2f8"
"116","E430018J23Rik"
"117","E4f1"
"118","Ebf1"
"119","Ebf4"
"120","Eea1"
"121","Egr1"
"122","Egr2"
"123","Egr3"
"124","Egr4"
"125","Elf1"
"126","Elf2"
"127","Elf3"
"128","Elf4"
"129","Elk1"
"130","Elk3"
"131","Elk4"
"132","Emx1"
"133","Emx2"
"134","Epas1"
"135","Erf"
"136","Esr1"
"137","Esrra"
"138","Esrrg"
"139","Ets1"
"140","Ets2"
"141","Etv1"
"142","Etv2"
"143","Etv3"
"144","Etv4"
"145","Etv5"
"146","Etv6"
"147","Fbxl19"
"148","Fiz1"
"149","Fli1"
"150","Flywch1"
"151","Fos"
"152","Fosb"
"153","Fosl2"
"154","Foxa1"
"155","Foxa2"
"156","Foxa3"
"157","Foxc1"
"158","Foxc2"
"159","Foxd1"
"160","Foxd2"
"161","Foxf1"
"162","Foxf2"
"163","Foxj1"
"164","Foxj2"
"165","Foxj3"
"166","Foxk1"
"167","Foxk2"
"168","Foxl1"
"169","Foxl2"
"170","Foxm1"
