,E11.5_XX_WT_rep1,E11.5_XX_WT_rep2,E11.5_XY_WT_rep1,E12.5_XX_WT_rep1,E12.5_XX_WT_rep2,E12.5_XY_WT_rep1,E12.5_XY_WT_rep2,E13.5_XX_WT_rep1,E13.5_XX_WT_rep2,E13.5_XX_WT_rep3,E13.5_XY_WT_rep1,E13.5_XY_WT_rep2
Gnai3,105.66,70.21,112.76,65.36,116.12,59.19,92.09,74.93,110.89,110.83,65.09,83.34
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,24.94,17.08,25.77,19.98,32.5,26.17,34.96,29.72,33.54,27.52,18.8,19.96
H19,6160.7,3933.44,5334.75,4452.58,6196.41,2162.41,3001.43,6226.08,4317.01,5993.63,1689.95,2272.44
Scml2,9.51,6.61,9.6,26.92,42.42,21.46,30.36,46.21,105.7,100.49,65.05,51.32
Apoh,0,0.03,0.08,0,0.1,0.03,0.04,0.1,0.25,0.12,0.03,0
Narf,22.75,17.11,21.91,11.27,17.93,10.88,15.68,14.34,15.51,16.49,13.96,17.16
Cav2,3.19,2.65,2.79,1.69,2.65,2.37,2.11,1.87,2.84,2.48,1.82,2.6
Klf6,19.51,12.78,20.23,8.81,13.64,12.62,19.15,9.19,11.56,10.98,28.23,23.82
Scmh1,36.67,26.71,30.1,36.15,47.6,16,21.95,34.73,65.66,47.93,15.99,21.54
Cox5a,86.02,53.69,116.95,86.66,140.6,78.45,97.75,162.33,139.71,95.79,62,65.58
Tbx2,32.39,19.36,35.13,21.61,30.01,40.67,70.52,27.84,20.99,22.82,39.76,49.22
Tbx4,5.93,4.94,4.5,7.96,11.07,4.95,4.8,4.23,4.34,4.33,3.29,3.68
Zfy2,0,0,0.29,0,0,0.34,0.47,0,0,0,0.85,0.68
Ngfr,15.41,10.39,21.37,11.25,23.01,23.79,35.95,17.02,22.36,20.17,23.73,25.98
Wnt3,0.21,0.17,0.35,0.6,0.95,4.83,4.65,0.4,0.41,0.62,5.33,7.15
Wnt9a,4.11,2.98,1.79,7.46,10.53,0.5,0.7,7.88,6.27,7.55,0.7,0.68
Fer,24.6,18.47,24.16,15.17,29.19,16.1,20.26,18.22,21.89,22.74,24.05,24.29
Xpo6,61.69,43.56,71.07,41.29,77.29,49.33,72.87,59.43,74.41,58.45,56.04,56.06
Tfe3,22.48,17.99,19.01,20.07,27.5,14.43,19.99,14.51,18.33,16.95,21.06,24.24
Axin2,19.92,13.85,16.12,23.77,43.06,9.27,12.67,27.93,41.64,43.27,13.48,11.86
Brat1,6.75,3.25,7.97,3.39,6.94,3.75,7.75,6.34,6.07,3.99,7.76,5.67
Gna12,30.52,20.02,43.64,19.37,33.37,26.61,39.48,28.88,30.57,29.05,25.32,31.34
Slc22a18,0.43,0.29,0.2,1.51,1.89,0.15,0.13,3.64,3.31,3.42,0.37,0.23
Itgb2l,0,0,0,0.04,0,0,0,0.01,0,0.03,0,0
Igsf5,0.7,0.27,0.39,0.19,0.14,0.06,0.1,0.15,0.47,0.1,0.71,0.35
Pih1d2,3.31,2.24,3.4,3.13,3.4,4.48,5.1,4.98,6.03,4.71,8.1,8.36
Dlat,22.37,19.27,22.52,20.12,22.33,19.48,27.33,19.55,28.12,25.17,24.96,29.39
Sdhd,94.53,70.08,110.82,93.05,104.93,76,91.02,120.15,106.16,101.71,66.21,94.76
Fgf23,0,0,0,0,0,0,0,0.02,0,0,0.02,0
Fgf6,0,0,0,0,0,0,0,0,0.01,0,0,0
Ccnd2,68.66,31.44,78.93,27.31,61.76,26.22,48,32.97,42.75,50.1,26.72,35.54
Gpr107,28.11,14.38,26.6,14.62,26.25,16.72,25.05,17.6,21.47,22.34,29.24,25.4
Nalcn,0.23,0.14,0.21,0.3,0.76,0.03,0.07,0.37,0.79,0.75,0.1,0.06
Btbd17,0.36,0.26,0.35,0.24,0.34,0.13,0.14,0.61,0.34,0.6,0.42,0.11
Slfn4,0.04,0.01,0.07,0.02,0.03,0.02,0.01,0.07,0.03,0.1,0.15,0.02
Th,0.51,0.34,0.17,0.07,0.15,0.16,0.4,0.33,0.09,0.07,0.77,1.17
Ins2,0.17,0.28,0.55,0.67,1.72,0,0.62,2.88,1,0.53,0.12,0.09
Scnn1g,0.74,0.36,0.51,0,0.02,0.01,0,0.04,0,0,0.01,0.01
Drp2,28.11,20.87,22.64,17.17,20.38,1.98,3.3,11.74,12.04,16.83,2.03,2.38
Tspan32,3.01,1.94,3.65,1.41,2.62,4.26,6.78,1.9,2.36,1.68,2.42,4.25
Lhx2,0.5,0.29,0.41,0.99,1.7,0.46,0.33,2.58,3.14,2.47,0.28,0.44
Clec2g,0.02,0.05,0.02,0.13,0.02,0.09,0.04,0.03,0.09,0.05,3.32,0.79
Gmpr,15.08,9.13,19.42,9.74,16.48,27.98,37.93,20.17,16.03,14.56,32.83,25.42
Glra1,1.65,1.04,1.14,0.3,0.76,0.05,0.02,0.15,0.12,0.49,0.04,0.02
Mid2,2.84,1.87,2.82,1.03,2.11,1.53,2.34,0.93,2.15,3.04,2.52,2.42
Trim25,35.83,24.22,35.11,23.2,55.58,33.96,50.23,17.13,31.21,36.97,43.86,43.13
Dgke,3.61,2.03,3.62,2.79,4.44,3.17,4.77,2.11,4.02,5.07,5.74,5.19
Scpep1,48.48,31.67,42.41,33.13,50.05,30.38,39.41,42.36,44.01,35.53,43.79,47.49
Mnt,27.95,22.59,21.29,14.75,24.67,14.73,26.4,8.67,17.25,15.67,29.06,25.25
Itgb2,0.58,0.53,0.67,0.09,0.33,0.06,0.11,0.43,0.13,0.33,0.12,0.3
Hddc2,39.9,26.39,50.96,38.29,45.88,34.17,43.34,69.34,52.69,40.81,27.53,32.31
Tpd52l1,15.88,18.09,28.63,21.5,15.82,63.24,53.67,17.48,13.55,23.39,34.3,46.91
Pemt,2.88,2.23,3.27,4.87,5.43,4.42,2.49,10.18,11.42,7.5,6.57,4.93
Cdh1,18.6,13.04,13.94,16.06,23.92,25.32,29.57,7.49,8.11,9.42,31.65,40.4
Cdh4,1.01,0.41,0.93,0.33,0.37,0.64,1,0.17,0.21,0.21,0.43,0.37
Ckmt1,1.03,0.53,0.54,0.28,0.27,0.12,0.27,0.29,0.15,0.1,0.89,0.36
Bcl6b,6.68,4.1,8.33,2.1,4.15,3.51,6.07,2.59,2.07,2.78,3.94,3.42
Clec10a,1.08,0.35,0.54,0.2,0.4,0.15,0.07,0.59,0.36,0.36,0.43,0.2
Alox12,1.03,0.6,1.26,0.38,0.52,0.34,0.83,0.17,0.27,0.28,0.36,0.78
Comt,24.16,19.7,26.82,26.83,25.4,16.91,18.83,32.87,23.18,26.85,17.38,18.33
Rtca,54.26,41.45,61.12,50.55,51.33,50.87,57.56,50.64,58.37,50.63,43.05,49.23
Dbt,18.19,14.12,21.01,11.03,18.32,12.42,17.41,12.08,12.56,19.14,11.2,15.35
Dazap2,67.64,67.78,67.43,70.09,72.66,52.21,54.47,80.15,110.27,107.95,56.64,61.63
Mcts1,33.3,25.02,39.77,22.96,24.93,21.52,21.49,22.68,18.24,26.5,13.91,23.66
Rem1,2.07,1.19,3.4,1.13,1.43,1.19,2.05,1.61,2.17,1.21,2.44,2.31
Rnf17,19.57,14.75,18.1,42.59,64.34,40.91,43.15,77.31,106.74,100.55,69.64,72.6
Trappc10,9.93,6.07,10.4,6.03,11.51,6.29,8.84,6.66,10.95,10.12,7.13,6.8
Ccm2,23.8,19.4,23.43,25.67,29.81,25.32,27.12,33.54,23,29.53,26.65,27.85
Wap,0,0,0,0,0,0,0,0,0,0,0,0
Tbrg4,16.11,10.16,19.69,13.36,18.87,18.02,23.68,14.38,13.41,13.72,14.35,20.78
Tmprss2,3.03,2.9,4.86,0.27,0.15,0.19,0.22,0.12,0.37,0.15,0.21,0.3
Mx1,0.06,0.04,0.48,0.03,0,0.09,0.02,0.09,0.06,0.1,0.5,0.07
Fap,3.66,2.59,4.55,0.34,1.96,0.18,0.67,1.15,1.84,1.26,1.09,0.42
Gcg,0,0,0,0,0,0,0.05,0,0,0.04,0,0
Ndufa9,77.31,71.6,83.99,77.14,109.82,77.29,85.52,124.34,106.67,105.05,92.35,99.48
Egfl6,4.2,3.07,5.18,13.08,27.03,1.4,1.87,26.19,27.13,28.82,2.28,1.94
Lck,11.44,8.59,9.64,5.85,12.94,3.19,3.91,5.68,5.5,4.19,4.44,2.79
Tssk3,0,0,0,0,0,0.03,0,0.03,0.18,0.04,0,0
Cttnbp2,7.08,3.97,7.8,1.53,4.09,2.31,4.06,1.78,2.83,5.2,3.51,4.17
Galnt1,96.17,67.4,104.54,77.8,139.85,78.33,112.37,78.53,93.02,98.58,102.67,107.43
Myf5,0.02,0.01,0,0,0,0.01,0,0,0,0.02,0.04,0
Mkrn2,11.81,11.64,11.62,13.05,15.19,11.47,15.23,13.74,14.17,16.11,23.03,16.81
Pparg,0.92,0.34,0.99,0.61,1.31,0.2,0.11,3.43,9.13,5.93,0.12,0.18
Raf1,47.53,30.33,50.74,27.46,43.33,26.82,42.04,36.92,52.59,44.95,31.31,32.58
Septin1,16.59,6.24,14.82,6.35,7.59,5.66,10.63,7.41,6.28,6.56,5.51,7.98
Pdgfb,3.89,3.54,4.13,2.2,2.57,4.53,7.06,1.97,1.54,2.18,3.61,3.95
Acvrl1,12.28,9.51,12.75,5.9,10.78,10.46,15.95,7.01,5.73,6.97,11.61,12.07
Tamalin,13.21,8.88,15.39,10.15,14.07,10.4,14.51,12.96,10.91,9.59,7.25,8.8
Acvr1b,14.05,8.44,13.4,7.71,13.79,8.43,13.25,7.22,9.18,9.84,12.31,11.24
Tom1l2,7.9,5.63,8.54,4.46,6.86,5.87,10.14,5.7,8.96,8.41,12.7,9.76
Gpa33,0.99,0.8,0.61,0.81,0.8,0.22,0.78,0.33,0.22,0.78,0.43,0.4
Zfp385a,9.57,7.36,8.77,7.2,10.16,5.27,7.69,11.58,15.32,12.04,8.29,7.47
Itga5,14.86,10.09,18.86,7.24,12.46,9.11,13.42,9.31,9.82,11.37,7.86,8.58
Gabra2,0.04,0.07,0.08,0.07,0.04,0.02,0.03,0.23,0.1,0.2,0.07,0.06
Wdr77,31.01,16.89,42.75,23.11,50.59,25.15,42.89,35.87,30.44,31,26.99,33.53
Adora3,0.09,0.09,0.15,0.02,0.05,0.03,0,0.1,0.05,0.04,0,0.09
Atp5pb,279.29,230.18,305.44,303.35,370.82,294.86,290.3,512.65,541.98,565.48,182.72,256.75
Sox9,6.1,3.43,66.84,1.32,2.03,23.65,45.54,1.54,1.72,1.99,26.09,25.17
Hnrnpd,831.12,704.27,922.24,660.92,765.76,786.07,829.3,556.2,583.72,823.09,464.25,699.58
Dynlt1c,16.69,8.3,16.57,8.37,9.45,7.71,22.45,6.42,8.37,9.82,10.49,18.46
C1d,45.04,27.01,63.9,32.21,45.24,31.98,36.48,52.73,35.75,33.21,21.96,25.19
Gm2a,14.62,10.75,22.5,14.76,21.54,19.34,30.44,20.48,17.89,15.44,28.55,27.92
Krit1,35.42,26.22,35.68,20.96,30.95,20.72,37.89,21.38,38.92,35.75,30.5,30.36
Clcn4,15.42,12.49,18.08,5.6,12.44,7.37,13.05,8.11,9.73,10.85,13.87,16.06
Vmn2r88,0,0,0,0,0,0,0,0,0,0,0,0
Grm6,0,0.01,0,0.01,0,0.01,0.03,0,0.05,0.07,0.01,0
Sema4f,0.69,0.27,0.76,0.73,2.14,0.45,0.63,2.07,2.07,2.14,0.42,0.51
Hk2,22.16,10.77,28.01,11.47,19.38,13.22,25.32,13.76,9.01,11.34,12.83,15.27
Myo18a,48.23,24.23,47.57,12.84,34.29,37.01,68,22.81,25.66,19.79,48.97,34.97
Sez6,0.04,0.09,0.14,0.42,0.68,0.33,0.23,0.26,0.78,0.81,0.27,0.34
Haao,1.23,0.6,0.71,1.83,4.86,0.01,0.15,3.28,2.2,2.36,0.06,0.08
Cd52,1.8,1.47,2.08,0.83,0.63,0.16,1.08,1.18,0.81,0.89,1.18,0.95
Abhd15,0.18,0.33,0.08,0.11,0.29,0.19,0.18,0.18,0.42,0.26,0.08,0.15
Hoxb6,8.11,4.55,7.21,0.63,0.91,0.43,0.86,0.61,0.42,0.31,0.4,0.42
Loxl3,7.56,4.68,8.79,2.64,4.03,4.86,9.38,3.79,3.82,3.62,5.85,5.39
Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0
Btn1a1,1.38,0.81,1.22,0.21,0.37,1.03,1.85,0.19,0.26,0.47,1.7,1.56
Kat2b,10.95,7.39,6.83,7.27,6.93,7.36,8.44,3.97,5,6.65,9.33,9.96
Rab5b,43.36,27.69,42.96,25.11,47.32,22.84,35.63,30.19,46.28,43.37,29.22,33.49
Cryba1,0,0,0,0,0,0,0,0,0,0,0,0
Dnmt3l,0,0.03,0.03,0,0,0.02,0.06,0.09,0,0,32.41,2.27
Aire,1.95,1.12,2.67,0.6,0.71,0.54,0.38,0.58,0.84,0.83,0.12,0.03
Icosl,2.05,1.13,2.52,1.42,1.95,0.76,1.35,1.45,1.41,1.37,2.2,1.49
Spg7,40.91,35.19,52.59,33.21,48.19,41.01,53.28,47.44,44.81,49.55,37.35,43.52
Sult5a1,2.84,1.01,3.82,2.28,3.11,1.13,2.44,3.3,2.09,2.61,1.5,1.53
Rpl13,1193.09,874.3,1514.39,1463,1590.93,1322.22,1472.89,2267.08,1624.73,1498.46,1307.5,1593.02
Chmp1a,23.07,13.08,26.33,23.06,32.34,17.98,26.23,35.85,25.68,25.8,18.27,20.83
Rpa1,83.03,52.66,98.22,66.87,111.62,74.84,101.14,73.89,67.46,65.36,84.3,85.16
Serpinf1,63.64,87.93,71.5,78.35,56.27,42.73,31.69,82.83,52.82,93.36,34.16,41.84
Tubgcp3,30.5,17.97,33.22,18.75,31.47,21.14,34.23,25.11,30.11,29.7,24.61,25.9
Oprm1,0,0,0,0,0,0,0,0,0,0,0,0
Polr3d,53.89,42.7,65.92,52.02,67.63,68.81,77.19,43.94,46.66,50.19,72.98,80.48
Tcf7,28.79,20.81,30.78,38.06,60.94,37.06,48.31,44.54,43.04,50.16,51.93,53.76
Ddx3x,453.22,377.18,331.41,217.04,495.69,250.19,347.13,162.1,308.14,421.7,571.63,448.26
Il12rb1,0,0.04,0.2,0.16,0.2,0.08,0.03,0.03,0.1,0.42,0.06,0.07
Slc5a5,0.52,0.59,0.48,0.82,0.57,0.25,0.27,0.44,0.4,0.63,0.17,0.09
Kcnn3,1.49,0.82,1.64,0.35,0.56,0.49,0.82,0.27,0.69,0.92,0.91,0.94
Usp32,20.74,23.1,19.11,13.31,27.28,19.46,25.31,14.93,43.14,71.19,31.5,40.72
Car4,6.91,4.68,3.52,4.08,0.42,0.13,0.25,0.25,0.19,0.35,0.16,0.08
Txnrd3,12.03,6.91,13.25,10.26,20.93,9.43,12.93,21.66,26.35,18.95,26.01,16.08
Fasl,0.08,0.03,0.18,0,0.06,0.02,0.1,0.02,0.03,0,0.41,0.21
Zfp512b,39.84,23.39,33.87,13.06,30.94,18.84,30.28,12.98,24.94,27.89,34.42,23.14
Dnajc5,40.72,29.05,40.94,17.34,44.93,24.64,35.56,14.83,35.44,38.03,30.23,34.52
Tpd52l2,118.08,107.33,144.1,113.28,140.69,146.97,123.8,128.96,122,152.28,114.73,117.3
Fmr1,111.73,63.25,94,76.02,156.75,55.92,99.59,95.76,226.48,174.9,70.89,78.05
Bcl11a,10.69,6.52,9.52,2.9,3.2,4.57,5.85,2.47,1.93,2.92,4.89,5.34
Il4,0.13,0,0,0,0,0,0,0,0,0,0,0
Pxmp4,10.46,8.16,10.44,11.04,14.29,7.6,11.31,14.91,13.94,11.73,9.46,8.74
Dlg3,21.6,14.76,21,27.44,50.23,13.21,17.63,34.26,32.73,35.67,16.95,18.02
Gnb1l,2.74,2.18,3,2.6,3.02,2.39,2,4.05,3.31,2.91,1.81,2.97
Dbh,3.18,1.51,0.96,0.03,0.19,0,0.24,0,0.06,0,0.09,0
Mmp11,77.96,91.48,82.16,89.34,84.42,91.11,87.22,114.37,75.04,55.58,183.89,161.59
Smarcb1,81.46,47.75,98.08,51.14,76.36,53.93,84.39,80.85,63.97,51.98,85.57,72.78
Vpreb3,0.1,0.12,0,0.1,0.12,0.06,0.66,0.29,0,0.43,0.16,0.24
Hip1r,4.15,2.01,3.98,3.23,6.64,2.41,2.34,5.42,5.42,9.6,3.44,3.19
Nsun5,15.57,7.68,15.75,13.69,18.55,9.02,16.75,26.23,25.13,18.07,9.28,10.94
Top1mt,5.56,3.75,6.49,5.34,8.72,3.9,4.58,11.21,8.07,7.71,4.86,4.54
Hoxa10,3.86,2.52,5.1,0.67,1.14,0.83,1.16,1.17,0.98,1.13,0.34,0.86
Hoxa4,3.66,2.88,4.89,0.91,1.01,0.48,0.59,0.62,0.71,0.9,0.29,0.33
Mmp14,110.14,73.04,122.93,52.85,78.08,60.38,71.76,73.14,61.89,67.06,66.46,71.64
Slc7a7,7.59,4.88,7.73,4,3.6,6.18,6.88,2.99,2.67,5.69,2.42,3.07
Oxa1l,59.34,32.68,68.02,54.18,77.91,34.01,53.01,76.23,56.95,55.81,35.18,43.37
Heatr6,9.25,5.36,8.6,3.72,6.65,3.82,7.73,3.09,5.91,5.86,6.19,5.89
Ccl3,1.24,0.58,0.9,0.64,1.5,0.19,0.61,0.77,1.06,0.72,0.18,0.19
Wfdc18,0.14,0,0.96,0,0,1.6,1.05,0,0,0,0.74,1.89
Icam4,1.47,0.76,1.06,0.35,1.08,0.45,0.49,1.8,1.47,1.69,0.3,0.55
Ilf2,179.6,169.01,225.73,150.41,179.5,216.44,176.29,172.55,135.84,162.46,205.47,199.76
Chtop,86.89,56.2,94.18,59.68,86.5,65.59,88.55,81.68,83,86.7,78.14,80.77
Snapin,29.35,20.89,27.42,32.18,41.71,21.55,30.49,35.87,46.83,53.59,26.28,39.18
S100a4,2.81,2.51,3.66,1.43,1.17,1.71,3.76,3.4,1.86,1.28,2.88,3.22
S100a3,0.14,0.05,0.78,0.11,0.18,0.12,0.45,0.3,0.63,0.14,0.36,0.12
S100a5,0,0,0,0,0,0,0,0,0,0,0,0
S100a6,13.07,13.97,19.69,14.77,15.71,14.47,12.86,17.99,14.13,11.81,23.67,15.67
Scn4a,0.13,0.07,0.27,0.03,0.09,0.02,0.05,0.02,0.04,0.05,0.02,0.01
Icam2,20.38,11.41,20.25,7.16,11.24,8.12,16.77,9.6,8.74,6.72,8.25,9.87
Mapk7,38.57,27.58,40.34,22.29,36.93,28.39,39.66,22.55,27.66,27.71,52.36,36.16
Epn2,19.76,13.58,14.43,17,33.55,16.95,21.12,21.03,38.75,52.91,33.07,30.04
B9d1,11.87,8.44,16.1,8.9,11.57,8.31,11.2,11.47,9.03,8.02,9.65,9.83
Sec24b,64.31,46.74,73.02,39.32,51.2,43.86,61.08,30.62,37.67,48.02,33.08,44.61
N4bp3,4.82,2.88,6.92,3.36,5.49,5.65,8.06,6.39,3.96,2.67,3.99,3.99
Rmnd5b,7.06,3.88,9.57,5.43,8.69,5.05,9.42,9.23,7.44,6.26,6.3,5.51
Nhp2,52.21,33.51,46.43,45.25,55.99,56.17,72.95,63.12,40.12,34.31,56.05,56.23
Vps9d1,31.53,18.6,39.75,13.03,19.5,14.24,24.22,17.04,17.85,19.11,17.76,18.03
Zfp276,11.54,5.37,11.5,5.07,8.69,5.84,10.15,6.8,7.6,7.07,6.35,6.08
C1ql4,0.28,0.45,0.28,0.07,0.12,0.07,0.07,0.03,0.08,0.09,0.08,0.06
Mfsd10,46.41,25.12,47.15,27.13,44.48,23.34,51.34,38.05,27.23,24.78,26.33,37.7
Luzp1,22.39,15.26,17.54,7.31,21.15,9.11,14.8,8.98,26.07,25.09,16.47,14.62
Slc13a2,0.04,0.06,0.02,0.02,0,0.66,2.14,0.03,0,0.04,0.34,0.6
Kctd10,47.89,44.8,56.09,29.87,40.47,41.19,41.05,28.39,29.17,33.12,52.09,39.31
Poldip2,51.99,37.5,57.55,44.5,64.93,36.47,51.16,57.17,58.55,60.57,36.95,41.12
Sebox,0,0,0,0,0,0.05,0,0,0,0,0,0
Ift20,95.9,76.99,118.95,80.78,110.86,89.12,128.71,150.86,97.75,74.74,102.23,97.16
Col6a1,24.62,14.76,28.53,21.1,48.9,33.97,61.51,42.81,45.85,57.21,79.91,65.27
Pcbp3,28.79,30.29,31.24,30.85,36.72,28.86,37.73,30.71,42.72,39.19,48.34,43.64
Lgals9,6.55,4.45,6.26,6.22,6.36,4.85,5.25,7,6.15,5.17,1.98,2.4
Araf,44.03,33.65,52.92,33.73,44.63,30.53,41.1,39.38,42.43,56.98,29.92,38.35
Cfp,2,1.43,3.51,1.25,0.87,1.18,1.26,0.88,0.72,1.45,0.95,1.31
Timp1,26.48,17.54,26.76,21.39,22.71,26.08,39.07,28.76,20.85,19.3,32.72,42.24
Uxt,21.08,20.51,26.76,33.85,39.31,21.2,28.24,57.58,39.99,45.35,21.03,26.42
Cnnm3,6.19,3.65,6.9,4.03,8.4,4.38,7.42,6.03,7.12,6.62,5.35,6.4
Lman2l,16.28,35.97,17.84,27.14,21.4,25.54,14.17,19.32,22.38,30.81,74.84,39.32
Mcm3ap,111.88,70.48,115.16,90.03,127.49,88.04,102.28,127.55,77.03,90.22,66.5,86.87
Pcnt,31.46,18.74,33.12,21.77,30.47,27.34,43.24,23.25,23.27,28.34,27.78,29.48
Ftcd,0.03,0.01,0.01,0.04,0.17,0.02,0,0.02,0.02,0.25,0,0.02
Mxd1,14.63,7.67,15.68,5.55,11.82,8.26,15.51,7.15,8.18,7.06,9.03,10.53
Gmcl1,26.85,20.08,27.6,23.82,39.26,17.45,26.62,33.12,36.18,40.13,16.27,21.44
Snrnp27,96.49,147.92,105.67,146.74,120.56,163.31,101.11,144.41,134.99,120.29,238.78,169.07
Oas1c,0.29,0.15,0.25,0.33,0.51,0.38,0.29,0.54,0.52,0.38,0.7,0.34
Oas1h,0,0,0,0,0,0,0.06,0,0,0,0,0
Ocrl,22.11,15.31,20.87,12.46,17.5,15.2,20.64,12.93,20.07,21.7,20.75,18.58
Calm1,422.21,418.44,455.89,399.51,408.3,468.59,448.91,396.21,339.96,494.15,294.24,417.35
Agpat3,18.71,13.45,25.13,14.07,20.78,11.8,15.19,20.71,16.68,15.49,15.2,12.73
Slc26a3,0.02,0,0.01,0.01,0,0,0.02,0.02,0,0,0.05,0
Sema6b,1.7,0.83,1.39,0.95,2.11,0.59,0.63,1.64,1.15,1.19,0.6,0.44
Uhrf1,63.17,42.71,77.24,32.61,51.67,45.12,66.6,40.54,54.42,62.48,59.59,49.49
Dpp9,15.63,9.83,19.83,9.83,14.82,8.81,15.64,12.12,11.59,12.59,14.16,11.44
Ramp2,58.59,45.07,57.13,28.45,30.88,38.64,56.95,29.53,34.17,31.45,37.09,35.56
Lsr,21.94,15.31,35.98,20.14,30.51,20.25,32.9,32.46,23.31,18.68,25.9,25.1
Gramd1a,31.45,21.44,45.19,14.77,19.96,18.98,31.62,15.18,14.27,14.75,13.16,17.23
Hpn,4.03,2.53,4.24,0.78,1.54,0.44,0.63,0.74,1.26,1.15,0.2,0.39
Gabrg1,0.13,0.05,0.16,0.03,0.08,0.07,0.15,0.05,0.11,0.1,0.07,0.04
Ckb,52.16,34.14,57.39,43.69,54.41,63.86,89.9,43.4,25.32,25.37,33.61,53.08
Sp1,40.07,26.46,36.72,21.17,47.79,26.46,41.97,15.39,35.04,39.78,38.53,40.05
Itgb7,0.55,0.58,0.63,0.71,0.29,1.38,2.08,0.43,0.2,0.32,0.1,0.65
Myg1,35.52,41.33,42.92,36.52,28.72,38.69,36.72,30.12,22.06,32.22,23.99,30.88
Rarg,9.74,7.1,9.23,4.63,6.89,3.67,5.02,7.22,8.22,9.18,10.88,8.21
Pfdn5,271.39,234.53,308.68,344.88,307.53,259.59,263.68,491.33,352.63,375.39,244.22,297.74
Efnb2,28.16,16.29,37.98,9.76,17.17,17.08,27.24,10.2,15.48,15.35,16.51,19.99
Rrp15,54.13,47.51,63.98,63.35,83.18,85.74,88.42,78.12,65.21,64.64,114.98,89.87
Rnd2,19.94,20.46,43.12,38.14,49.56,68.45,74.94,78.14,43.54,50.7,40.7,63.53
Srr,19.65,15.96,17.55,11.15,16,8.83,13.95,11.6,10.81,22.42,9.34,15.73
Sync,0.43,0.27,0.52,0.66,0.95,0.18,0.14,0.39,1.01,0.66,0.59,0.37
Fndc5,27.67,18.71,34.95,36.06,61.91,9.07,16.02,66.06,54.29,52.12,11.11,13.46
Acp5,6.66,4.7,6.04,3.21,4.14,3.17,2.14,5.79,5.11,6.33,1.87,2.52
Cnn1,2.19,1.93,1.55,0.5,0.37,0.99,0.84,0.61,0.32,0.39,3.31,1.91
Fbxo9,23.17,14.78,26.41,14.84,27.37,15.37,25.15,27.86,28.3,27.65,19.97,20.37
Vps50,34.18,45.76,29.5,41.21,59.94,57.22,53.83,45.21,56.9,53.25,128.17,69.42
Hars,54.23,42.55,61.79,36.24,45.02,42.83,52.96,39.69,36.11,41.44,51.59,46.32
Zmat2,111.81,79.54,138.83,102.34,127.1,136.35,124.29,146.8,103.94,115.3,132.67,114.97
Ube2c,253.08,220.5,189.25,238.25,183.72,313.19,378.08,221.05,167.78,142.71,254.72,283.11
Smg5,39.27,22.96,43.33,26.76,49.59,30.32,38.74,37.34,44.55,41.07,31.75,30.37
Cct3,198.53,155.96,227.81,213.78,274.64,213.58,247.22,289.33,327.55,281.93,231.16,259.09
Glmp,27.54,21.73,40.34,26.35,29.82,21.08,29.91,37.45,24.35,30.95,20.2,35
Mef2d,30.47,28.32,27.54,31.53,29.15,33.91,41.75,19.29,30.35,46.67,44.98,49.21
Tmem79,0.66,0.49,0.89,0.5,0.58,0.28,0.28,0.69,1.05,0.91,0.38,0.4
Snd1,161.6,49.53,211.89,72.04,194.44,75.32,177.51,145.73,128.02,75.59,112.34,107.28
Col18a1,138.88,134.7,163.4,115.27,130.68,424.62,396.74,72.67,108.39,166.59,202.2,309.83
Slc19a1,7.55,4.16,7.79,5.63,7.27,3.34,6.94,6.19,5.52,6.46,4.79,5.5
Kpnb1,451.88,725.21,511.48,554.48,491.79,825.07,511.51,293.82,306.57,636.46,607.94,779.07
Npepps,46.22,29.33,49.29,25.7,45.43,26.87,42.77,23.97,37.45,36.85,34.4,37.58
Tbx21,0,0,0,0.01,0.09,0.01,0,0.01,0.02,0.05,0.1,0.02
Mrpl10,21.82,14.21,23.86,13.97,21.13,15.96,21.4,19.11,21.23,17.61,13.15,18.04
Cyp51,35.65,19.16,41.42,15.78,28.82,19.98,28.27,22.9,23.7,20.64,39.95,40.64
Tcf25,104.2,115.57,134.58,123.93,119.7,154.73,99.03,124.58,99.39,183.43,167.76,127.25
Tubb6,19.61,14.49,22.95,7.85,9.52,12.57,17.14,11.9,13.36,10.95,19.5,15.85
Def8,21.11,10.47,19.78,11.41,21.13,9.61,15.33,14.4,13.35,11.84,8.16,10.48
Meox1,1.26,1.02,0.9,0.97,0.77,1.34,1.24,1.15,0.7,1.69,1.59,1.57
Sost,0.85,0.67,0.98,0.33,0.43,0.39,0.95,0.25,0.24,0.51,0.33,0.72
Nkx2-1,0,0.01,0,0,0,0,0,0,0,0,0,0
Pax9,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0,0.02,0,0.01
Irx2,2.02,1.67,1.67,1.81,2.95,0.54,0.25,2.6,2.92,3.27,1.5,0.8
Col1a1,84.5,47.2,99.15,22.62,41.66,43.75,66.53,35.51,44.51,74.85,84.94,59.65
Itga3,19.87,13.16,22.88,8.34,14.6,15.43,21.6,7.88,13.41,11.37,10.1,13.14
Sgca,0.57,0.06,0.06,0.29,0.32,0.44,0.12,0.08,0.04,0.1,0.03,0.06
